feature,importance
hour,0.7462107366845607
weekday,0.07856538905678853
feel_temp,0.027890507214468445
comfort_index,0.0253940041205769
year,0.021628088346958684
humidity,0.018383736088033394
month,0.014128069528317756
temp_sq,0.013759729217593879
season_temp,0.01332294379371216
temp,0.012381456754372048
weather_temp,0.011647639081726916
temp_humidity,0.008014812399476122
temp_windchill,0.005485281792999331
windspeed,0.0028169954343613334
is_ideal_cycling,0.00037061048605379406
weather,0.0
workingday,0.0
bad_weather,0.0
holiday,0.0
rush_x_weather,0.0
