feature,importance
feature_2,0.49032187
feature_0,0.1355888
feature_5,0.10850363
feature_3,0.07946412
feature_4,0.056367207
feature_6,0.037692096
feature_8,0.027067872
feature_11,0.026960408
feature_1,0.024023002
feature_14,0.0073661087
feature_13,0.006644938
feature_18,0.0
