mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,param_model,param_feature_selection__threshold,param_model__penalty,param_model__C,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,mean_train_roc_auc,std_train_roc_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,split3_test_average_precision,split4_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,split0_train_average_precision,split1_train_average_precision,split2_train_average_precision,split3_train_average_precision,split4_train_average_precision,mean_train_average_precision,std_train_average_precision,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_train_balanced_accuracy,split1_train_balanced_accuracy,split2_train_balanced_accuracy,split3_train_balanced_accuracy,split4_train_balanced_accuracy,mean_train_balanced_accuracy,std_train_balanced_accuracy
0.790139627456665,0.007495413939524689,0.0708536148071289,0.000929538320821901,800.0,4.0,0.75,8,"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=1,
                       random_state=42)",1.25*median,,,"{'model__n_estimators': 800, 'model__min_samples_leaf': 4, 'model__max_features': 0.75, 'model__max_depth': 8, 'model': RandomForestClassifier(class_weight='balanced_subsample', n_jobs=1,
                       random_state=42), 'feature_selection__threshold': '1.25*median'}",0.8523076923076922,0.8394711538461538,0.8667151162790697,0.8539728682170543,0.8901647286821704,0.8605263118664281,0.017149635924864917,1,0.9521155705996132,0.9519040135396519,0.9516047297297296,0.9520662403474903,0.9473425434362934,0.9510066195305557,0.0018407104167525563,0.7272727272727273,0.7421383647798742,0.75,0.7189542483660131,0.7682119205298014,0.7413154521896832,0.01730167693900661,10,0.8338557993730408,0.8399366085578447,0.8278041074249605,0.8348909657320872,0.8309636650868878,0.8334902292349643,0.004058744098048855,0.8077115496665215,0.8014408967900833,0.8304632816494132,0.839489439729385,0.8495661070836295,0.8257342549838065,0.01840929729446009,2,0.9345918415378811,0.9334244119385751,0.9323014585640075,0.9333488214880015,0.9285342055687275,0.9324401478194385,0.002083260383418568,0.7788461538461539,0.791826923076923,0.7968507751937984,0.7739825581395349,0.8121124031007751,0.7907237626714372,0.01354678342139084,11,0.8653348646034816,0.8695750725338491,0.8601472007722007,0.8666264478764478,0.8626749517374517,0.8648717075046862,0.003242282240465382
0.8156814575195312,0.0025866553463675403,0.07079367637634278,0.0004227024754974209,800.0,4.0,0.75,8,"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=1,
                       random_state=42)",0.75*median,,,"{'model__n_estimators': 800, 'model__min_samples_leaf': 4, 'model__max_features': 0.75, 'model__max_depth': 8, 'model': RandomForestClassifier(class_weight='balanced_subsample', n_jobs=1,
                       random_state=42), 'feature_selection__threshold': '0.75*median'}",0.8536538461538462,0.8362980769230769,0.8651647286821705,0.8487403100775194,0.8878391472868218,0.8583392218246869,0.017416871513642483,2,0.9495013297872341,0.9501934235976789,0.9509682673745175,0.9521476833976833,0.947200772200772,0.9500022952715772,0.0016535912605653783,0.7317073170731707,0.7329192546583851,0.7544910179640718,0.7189542483660131,0.7682119205298014,0.7412567517182884,0.01766258273166733,11,0.838810641627543,0.8427672955974843,0.8233438485804416,0.8361934477379095,0.8309636650868878,0.8344157797260532,0.006733906545526355,0.8188184944416089,0.7977631640173767,0.827270479034266,0.8361244542716613,0.8489570775691379,0.8257867338668102,0.017203555550919267,1,0.9316350362892861,0.9323244394978975,0.9313619601850505,0.9333872721612352,0.9289282613767125,0.9315273939020363,0.001475728559279594,0.7826923076923077,0.7841346153846154,0.8007267441860465,0.7739825581395349,0.8121124031007751,0.790729725700656,0.013752981211626377,10,0.8694269825918762,0.87232833655706,0.8566541988416989,0.8675916988416988,0.8626749517374517,0.8657352337139571,0.005520416610632987
0.26441264152526855,0.014384789391238656,0.04082698822021484,0.000469885299132567,250.0,8.0,sqrt,,"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=1,
                       random_state=42)",0.75*median,,,"{'model__n_estimators': 250, 'model__min_samples_leaf': 8, 'model__max_features': 'sqrt', 'model__max_depth': None, 'model': RandomForestClassifier(class_weight='balanced_subsample', n_jobs=1,
                       random_state=42), 'feature_selection__threshold': '0.75*median'}",0.8633653846153847,0.8312980769230769,0.8730135658914728,0.8480620155038759,0.8748546511627907,0.8581187388193202,0.016431430345426528,3,0.9089065522243713,0.913031914893617,0.9087988658301158,0.910304054054054,0.9019033542471042,0.9085889482498525,0.0036748781030648465,0.7560975609756098,0.7515151515151515,0.7325581395348837,0.7421383647798742,0.7564102564102564,0.747743894643155,0.009177593030020094,3,0.7815384615384615,0.7769110764430577,0.7831513260530422,0.7827380952380952,0.776255707762557,0.7801189334070427,0.0029422893349989343,0.806165700090445,0.7952663355520864,0.834414938290219,0.8376226214431277,0.8469806295545295,0.8240900449860815,0.019828269085656484,5,0.8789824789462387,0.8819141084824971,0.8795732173478436,0.8786728461234475,0.8737144881131844,0.8785714278026422,0.0026812761247520553,0.8028846153846154,0.7990384615384616,0.7813468992248063,0.7912306201550388,0.802858527131783,0.795471824686941,0.008242997908031732,4,0.8233740328820116,0.8194300048355899,0.8246199324324325,0.825030164092664,0.8192869208494209,0.8223482110184237,0.002501732431555014
0.40448498725891113,0.002801641564908062,0.05560765266418457,0.00031079580967669363,500.0,2.0,log2,8,"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=1,
                       random_state=42)",0.75*median,,,"{'model__n_estimators': 500, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': 8, 'model': RandomForestClassifier(class_weight='balanced_subsample', n_jobs=1,
                       random_state=42), 'feature_selection__threshold': '0.75*median'}",0.8648076923076922,0.828125,0.8701065891472868,0.8437984496124031,0.8814437984496124,0.8576563059033988,0.019163167229530317,4,0.9362246131528047,0.939990328820116,0.9389508928571428,0.9437379343629344,0.9389297779922781,0.9395667094370552,0.002430353474810719,0.7455621301775148,0.7388535031847133,0.75,0.7096774193548387,0.7468354430379747,0.7381856991510083,0.014710373807035144,12,0.8169014084507042,0.8214849921011058,0.8169014084507042,0.8282208588957055,0.8186046511627907,0.8204226638122021,0.004243678512539718,0.8035122073173824,0.7985441944507152,0.8255169695335765,0.8377787375846957,0.8464644317518117,0.8223633081276362,0.018714483074181464,9,0.9163748223637241,0.9224751419254453,0.9219150475433822,0.9264517648837566,0.9233840524220963,0.922120165827681,0.0032722228764406345,0.79375,0.7894230769230769,0.7968507751937984,0.7662306201550387,0.7951065891472868,0.7882722122838401,0.011291261045298037,12,0.8517196566731142,0.8549927466150871,0.851827944015444,0.8620294401544402,0.8536196911196912,0.8548378957155552,0.003794984495824262
0.29140186309814453,0.002278173164157687,0.03922691345214844,0.00042445462439128835,250.0,2.0,0.75,4,"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=1,
                       random_state=42)",median,,,"{'model__n_estimators': 250, 'model__min_samples_leaf': 2, 'model__max_features': 0.75, 'model__max_depth': 4, 'model': RandomForestClassifier(class_weight='balanced_subsample', n_jobs=1,
                       random_state=42), 'feature_selection__threshold': 'median'}",0.855625,0.838701923076923,0.868265503875969,0.8478197674418604,0.8709786821705426,0.856278175313059,0.012171252132098,5,0.9069360493230174,0.9049806576402321,0.8994027509652509,0.9063073117760618,0.894965612934363,0.9025184765277849,0.004619221839490296,0.7647058823529411,0.7674418604651163,0.7261904761904762,0.7261146496815286,0.7682119205298014,0.7505329578439727,0.01994060523255027,1,0.7804878048780488,0.7894736842105263,0.7817896389324961,0.781437125748503,0.7727975270479135,0.7811971561634976,0.005290869234295572,0.7920015810514007,0.808610420288276,0.8336010569411064,0.8400093193759967,0.8459773686679406,0.8240399492649442,0.02045587120623486,6,0.8795266383871778,0.880255459377517,0.8742369478829323,0.8793289441901344,0.8710331938871246,0.8768762367449773,0.003621230283005904,0.8100961538461539,0.8125,0.7765988372093022,0.7787306201550388,0.8121124031007751,0.7980076028622539,0.016643589387715395,1,0.8226305609284332,0.8297721228239845,0.8234254343629344,0.823835666023166,0.8163006756756757,0.8231928919628387,0.004279541440996131
0.25288996696472166,0.0007875183381372186,0.04014892578125,0.00022915259876260275,250.0,2.0,log2,6,"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=1,
                       random_state=42)",0.75*median,,,"{'model__n_estimators': 250, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': 6, 'model': RandomForestClassifier(class_weight='balanced_subsample', n_jobs=1,
                       random_state=42), 'feature_selection__threshold': '0.75*median'}",0.8629807692307693,0.8330288461538462,0.8655523255813954,0.8434108527131783,0.8758236434108527,0.8561592874180084,0.015614023038103655,6,0.9118018617021276,0.9153681092843327,0.9109043194980695,0.9178661920849421,0.910774613899614,0.9133430192938172,0.0028099541367514595,0.7560975609756098,0.7375,0.7337278106508875,0.7329192546583851,0.7483870967741936,0.7417263446118152,0.00905870682706274,9,0.7875,0.784375,0.7905511811023622,0.7969924812030075,0.7944785276073619,0.7907794379825464,0.004563086908414899,0.8012765653528415,0.7992097962821239,0.8272508339866111,0.8332333534101856,0.8472715208505237,0.821648413976457,0.018658217052597084,11,0.8866417345854241,0.8944968405234051,0.890911859513785,0.8956856951262464,0.8921685107742061,0.8919809281046133,0.003154051246533268,0.8028846153846154,0.7879807692307692,0.7828488372093023,0.7834786821705426,0.7966085271317829,0.7907602862254025,0.007804354901329912,9,0.8279859767891682,0.8254563588007737,0.8304114382239383,0.8368424227799227,0.8342241795366795,0.8309840752260966,0.004115596390741346
0.6794089794158935,0.003519762640002713,0.06415891647338867,0.00045710250174299093,800.0,2.0,0.75,4,"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=1,
                       random_state=42)",0.75*median,,,"{'model__n_estimators': 800, 'model__min_samples_leaf': 2, 'model__max_features': 0.75, 'model__max_depth': 4, 'model': RandomForestClassifier(class_weight='balanced_subsample', n_jobs=1,
                       random_state=42), 'feature_selection__threshold': '0.75*median'}",0.8503365384615386,0.8410096153846155,0.8711724806201551,0.8443798449612403,0.8704941860465115,0.8554785330948121,0.012889843981161607,7,0.9081268133462281,0.9072110735009672,0.9019636824324324,0.9047719594594594,0.8960092905405406,0.9036165638559256,0.004363494318750389,0.757396449704142,0.7692307692307693,0.7218934911242604,0.7307692307692307,0.7651006711409396,0.7488781223938684,0.01900560707745609,2,0.7803379416282642,0.7774294670846394,0.784375,0.7867867867867868,0.772093023255814,0.7802044437511009,0.005181394385658133,0.7965796966262678,0.8087294330204381,0.836873877099505,0.8371790481151381,0.8475727352382808,0.8253869580199259,0.01934188645219478,3,0.8808879728072545,0.8815123335045488,0.8764699527302506,0.8767761975397814,0.872325084282277,0.8775943081728226,0.0033435714379085467,0.8038461538461539,0.8139423076923077,0.7727228682170542,0.7826065891472869,0.8097383720930232,0.7965712581991652,0.01607363084016149,2,0.8224069148936171,0.8198017408123791,0.8255851833976835,0.8282939189189189,0.8157034266409267,0.8223582369327052,0.004392494646689517
0.5577739715576172,0.007185178680105812,0.06825199127197265,0.0008570583534493961,800.0,2.0,sqrt,6,"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=1,
                       random_state=42)",median,,,"{'model__n_estimators': 800, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 6, 'model': RandomForestClassifier(class_weight='balanced_subsample', n_jobs=1,
                       random_state=42), 'feature_selection__threshold': 'median'}",0.8649038461538461,0.8314903846153846,0.8673934108527133,0.8439922480620154,0.8692344961240309,0.855402877161598,0.015015756719741532,8,0.9173083897485492,0.9207930367504835,0.9160714285714285,0.9176640926640927,0.9108771718146718,0.9165428239098452,0.0032320108629765843,0.7380952380952381,0.7453416149068323,0.7380952380952381,0.7421383647798742,0.7483870967741936,0.7424115105302753,0.004040499144509476,8,0.7869362363919129,0.7962674961119751,0.789308176100629,0.7934131736526946,0.7914110429447853,0.7914672250403993,0.0032256418042679543,0.8096912908468292,0.802058689122525,0.8284576774442842,0.8357745740363176,0.8423314711454415,0.8236627405190795,0.015363241045787453,7,0.8926980212073361,0.9008866317230956,0.8959161536940397,0.8961941705808586,0.8927930290602517,0.8956976012531163,0.0029884579153692734,0.7875000000000001,0.7942307692307693,0.7867248062015504,0.7912306201550388,0.7966085271317829,0.7912589445438283,0.003798385254203412,7,0.8276142408123791,0.8352030947775628,0.8294461872586874,0.8339466698841699,0.8316964285714286,0.8315813242608456,0.0027936317474190598
0.3948949337005615,0.0047776203311423225,0.05340719223022461,0.00029219396719076134,500.0,1.0,sqrt,6,"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=1,
                       random_state=42)",median,,,"{'model__n_estimators': 500, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 6, 'model': RandomForestClassifier(class_weight='balanced_subsample', n_jobs=1,
                       random_state=42), 'feature_selection__threshold': 'median'}",0.8595192307692308,0.830721153846154,0.8650678294573644,0.8448643410852712,0.8696220930232558,0.8539589296362552,0.014299405972245058,9,0.9234284332688588,0.9264204545454546,0.9224782818532818,0.9242217664092665,0.9172176640926641,0.9227533200339051,0.003058729176102914,0.7425149700598802,0.7329192546583851,0.7261904761904762,0.7329192546583851,0.7402597402597403,0.7349607391653733,0.005837784642122764,15,0.7906976744186046,0.8049921996879875,0.7962085308056872,0.8042168674698795,0.8018433179723502,0.7995917180709017,0.00540697474260839,0.7983393357719454,0.8014114682240356,0.8247395333139779,0.8359892499127395,0.8445289174726148,0.8210017009390628,0.018381990891710623,13,0.9009548098169434,0.9092394915842539,0.9054177246935624,0.9063220463123285,0.9016352317119659,0.9047138608238109,0.0030715286218109266,0.7913461538461539,0.7841346153846154,0.7765988372093022,0.7834786821705426,0.790358527131783,0.7851833631484795,0.00533783113533168,15,0.830739240812379,0.8421965667311412,0.8348696911196911,0.8428631756756757,0.8402449324324325,0.8381827213542639,0.004661585434330999
0.2523690700531006,0.003090955372420663,0.040515565872192384,0.0005474458492688376,250.0,1.0,log2,6,"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=1,
                       random_state=42)",0.75*median,,,"{'model__n_estimators': 250, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': 6, 'model': RandomForestClassifier(class_weight='balanced_subsample', n_jobs=1,
                       random_state=42), 'feature_selection__threshold': '0.75*median'}",0.8640865384615384,0.829375,0.8691375968992249,0.8361434108527133,0.8708333333333333,0.8539151759093621,0.017546843787267636,10,0.9169638539651837,0.9217329545454545,0.9190787886100386,0.9246199324324325,0.9162855936293437,0.9197362246364905,0.003093950477334041,0.7560975609756098,0.7407407407407407,0.7337278106508875,0.7421383647798742,0.7402597402597403,0.7425928434813704,0.007349100731103038,6,0.7962382445141066,0.7962382445141066,0.8037676609105181,0.8030075187969925,0.8006182380216383,0.7999739813514725,0.0032224487621450347,0.8128082494428852,0.7966548144011562,0.8257043769125826,0.8256046085263308,0.8474469327543733,0.8216437964074655,0.016736154300744,12,0.8943547368971917,0.9038322010504113,0.9019158444039032,0.9059305364990262,0.9008011472918989,0.9013668932284862,0.003916537624735925,0.8028846153846154,0.7903846153846155,0.7828488372093023,0.7912306201550388,0.790358527131783,0.791541443053071,0.006435263881202051,6,0.8349794487427467,0.8349794487427467,0.8411196911196912,0.8418979247104247,0.8390504343629344,0.8384053895357088,0.002948065755655112
