mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model,param_feature_selection__threshold,param_model__subsample,param_model__max_depth,param_model__learning_rate,param_model__l1_ratio,param_model__min_samples_leaf,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,split4_train_r2,mean_train_r2,std_train_r2,split0_test_neg_rmse,split1_test_neg_rmse,split2_test_neg_rmse,split3_test_neg_rmse,split4_test_neg_rmse,mean_test_neg_rmse,std_test_neg_rmse,rank_test_neg_rmse,split0_train_neg_rmse,split1_train_neg_rmse,split2_train_neg_rmse,split3_train_neg_rmse,split4_train_neg_rmse,mean_train_neg_rmse,std_train_neg_rmse,split0_test_neg_mae,split1_test_neg_mae,split2_test_neg_mae,split3_test_neg_mae,split4_test_neg_mae,mean_test_neg_mae,std_test_neg_mae,rank_test_neg_mae,split0_train_neg_mae,split1_train_neg_mae,split2_train_neg_mae,split3_train_neg_mae,split4_train_neg_mae,mean_train_neg_mae,std_train_neg_mae
85.39200382232666,0.7756091667760009,0.022453880310058592,0.0003356893157173581,,GradientBoostingRegressor(random_state=42),1.25*median,0.7,4.0,0.1,,,"{'model__subsample': 0.7, 'model__max_depth': 4, 'model__learning_rate': 0.1, 'model': GradientBoostingRegressor(random_state=42), 'feature_selection__threshold': '1.25*median'}",0.982129803246191,0.9830576269564633,0.9870135561590009,0.9858641008676406,0.983010982268886,0.9842152138996363,0.001880886311227109,1,0.991510082174426,0.9910451797418486,0.9905983142187617,0.9906643134654819,0.9908230407676155,0.9909281860736266,0.00032917786069750355,-2.25611381087337,-2.3472428888191526,-2.2685577776055745,-2.3566934364927747,-2.4013544323999767,-2.3259924692381695,0.05523644795265789,1,-1.7574660493666339,-1.7796825854353735,-1.7771199986244581,-1.7734531162453742,-1.7929737044847691,-1.7761390908313217,0.0114264577887176,-1.6636871704933296,-1.6877285424519206,-1.661187378094151,-1.693742390301557,-1.6920186899512617,-1.6796728342584442,0.014230393741213968,3,-1.3258794712695374,-1.3459290469553336,-1.3309205959606092,-1.343079219353993,-1.3478512097305893,-1.3387319086540124,0.008718501188756455
104.63953280448914,1.5291294428410136,0.02285323143005371,0.0001344763300102286,,GradientBoostingRegressor(random_state=42),1.25*median,0.9,5.0,0.2,,,"{'model__subsample': 0.9, 'model__max_depth': 5, 'model__learning_rate': 0.2, 'model': GradientBoostingRegressor(random_state=42), 'feature_selection__threshold': '1.25*median'}",0.9826797859118647,0.9825342654049857,0.9866635242642328,0.9859187674410611,0.9830913164668792,0.9841775318978045,0.0017513132803836054,2,0.9970308657821267,0.9968256050360891,0.9962622661878946,0.9966863584848735,0.996661549894892,0.9966933290771751,0.00025230999845218127,-2.221124818681746,-2.38322112720607,-2.298927436667406,-2.3521321011781553,-2.395670187564462,-2.3302151342595683,0.06395931473020791,3,-1.03932198898186,-1.0596064542533896,-1.1205160268301617,-1.0565725967393416,-1.0814263914766062,-1.0714886916562718,0.027931386239087242,-1.6258917932240162,-1.6833030396858664,-1.6512378626646054,-1.6843789996333052,-1.6957778125363334,-1.668117901548825,0.025799466444026527,1,-0.8059472143410362,-0.8170653484916952,-0.8519403172583064,-0.8148355219484728,-0.8348816229347763,-0.8249340049948574,0.016448035378636684
113.74978475570678,1.4049587276773776,0.023066616058349608,0.0007591346489678597,,GradientBoostingRegressor(random_state=42),median,0.9,5.0,0.2,,,"{'model__subsample': 0.9, 'model__max_depth': 5, 'model__learning_rate': 0.2, 'model': GradientBoostingRegressor(random_state=42), 'feature_selection__threshold': 'median'}",0.9818952155769375,0.9831883123639894,0.9868437279943549,0.9859347046985748,0.9829190915886369,0.9841562104444987,0.0018955305295081674,3,0.9969402895727283,0.996900183870433,0.9964859664613979,0.9967734612297102,0.9968464695553847,0.9967892741379307,0.00016163139595926844,-2.270873885056046,-2.338172606373676,-2.283342949631142,-2.3508006428790873,-2.407839931420116,-2.3302060030720133,0.0494592333013163,2,-1.0550556414274253,-1.0470853447114652,-1.0864677489594687,-1.0425935294965092,-1.0510491689179138,-1.0564502867025563,0.01556841037406215,-1.6575219967065662,-1.6814587041194684,-1.6597049549852558,-1.7012029583040447,-1.6780391998712807,-1.6755855627973233,0.015970292425777452,2,-0.8097733513399645,-0.805220065262999,-0.829021028946358,-0.7998970378504611,-0.8154593878501342,-0.8118741742499834,0.00999010312439244
92.14161381721496,0.478675554748225,0.022650718688964844,0.0002480728989381975,,GradientBoostingRegressor(random_state=42),median,0.7,4.0,0.2,,,"{'model__subsample': 0.7, 'model__max_depth': 4, 'model__learning_rate': 0.2, 'model': GradientBoostingRegressor(random_state=42), 'feature_selection__threshold': 'median'}",0.9816014658318855,0.982931169025968,0.9869331488388083,0.9850843335228868,0.9823049710516412,0.983771017654238,0.001963948353116395,4,0.9943914057969592,0.9943299845013767,0.9935992444145944,0.9939455249643304,0.9940913638647187,0.9940715047083959,0.0002858123779508258,-2.289222199686387,-2.355986518017064,-2.2755699809702343,-2.420821152005945,-2.4507429908220604,-2.3584685683003377,0.06939136786032792,4,-1.4284406810830268,-1.4161401542802488,-1.4663225381674465,-1.4281861847749573,-1.438693038549853,-1.4355565193711066,0.016960765814538956,-1.6813601958966944,-1.6808356716413868,-1.676582463972209,-1.7390406403556642,-1.7161339825210726,-1.6987905908774052,0.024658703985817123,4,-1.0984088569540176,-1.0894293771345023,-1.1201228678083022,-1.0993563594244327,-1.1073701909633211,-1.1029375304569151,0.010303282728214161
99.06180276870728,0.47842201211393287,0.022706365585327147,0.00010051684316148749,,GradientBoostingRegressor(random_state=42),median,0.7,5.0,0.2,,,"{'model__subsample': 0.7, 'model__max_depth': 5, 'model__learning_rate': 0.2, 'model': GradientBoostingRegressor(random_state=42), 'feature_selection__threshold': 'median'}",0.9824686793991243,0.9825992932216656,0.9864161643207516,0.9850008588831967,0.9815806921567961,0.9836131375963069,0.0018028437887802025,5,0.9966810065149594,0.9965896527100435,0.9964023924972099,0.996639888586177,0.9965074696087032,0.9965640819834187,9.941861000768445e-05,-2.2346198534941295,-2.378780426905464,-2.3201493063270515,-2.4275856916223466,-2.5003959320055675,-2.372306242070912,0.09075526301547882,5,-1.0988499701140295,-1.0982808670326683,-1.0993115176817287,-1.06395539292359,-1.1061005698631798,-1.0932996635230392,0.014944631827023576,-1.6562777726665217,-1.7180576980419537,-1.678147984041376,-1.7420345123473744,-1.7211994099384709,-1.703143475407139,0.031247823107778752,5,-0.8540588824074645,-0.8539420213895804,-0.8530133765245697,-0.8277267344973527,-0.858236555613488,-0.849395514086491,0.010983685042277097
56.18352479934693,0.28085080153502157,0.021533632278442384,0.000652237495269743,0.005,Lasso(max_iter=5000),0.75*median,,,,,,"{'model__alpha': 0.005, 'model': Lasso(max_iter=5000), 'feature_selection__threshold': '0.75*median'}",0.9821324435482102,0.9821236726340895,0.9857481986527571,0.9853619142734446,0.9815295254728365,0.9833791509162676,0.0017941770797726192,6,0.9878071128588185,0.987532557764455,0.9869680111634996,0.987145738960951,0.9873113968937469,0.9873529635282943,0.0002937222612118262,-2.2559471355430136,-2.4110713451672168,-2.376509769364864,-2.3981896073398694,-2.5038664273200775,-2.389116856947008,0.07952973231393126,6,-2.1061460199974267,-2.0999202260396035,-2.0922772731947172,-2.0809906977564285,-2.1082952273804936,-2.097525888873734,0.009969740967131813,-1.7075462898152636,-1.7070424579574242,-1.7311683833819345,-1.7384139377781347,-1.6929171591680112,-1.7154176456201538,0.016824322240326747,6,-1.5538731013961038,-1.5620478788007583,-1.5468749020677548,-1.5493310364142334,-1.5697975538899194,-1.5563848945137537,0.00846728761355021
52.71419792175293,0.14210105795317957,0.022427940368652345,4.786708858769223e-05,100.0,Ridge(),median,,,,,,"{'model__alpha': 100, 'model': Ridge(), 'feature_selection__threshold': 'median'}",0.9812696357283522,0.9801980822016652,0.9856872182590798,0.984686974715491,0.9840079734248867,0.983169976865895,0.002087269952566698,7,0.9874297464721706,0.9871662522187521,0.9866370090058534,0.9867239837146009,0.9869613806160378,0.986983674405483,0.00028997521061501457,-2.3097737896123065,-2.5376080227771367,-2.3815886294905573,-2.452854986255958,-2.329828115649382,-2.4023307087570682,0.0837929560840002,7,-2.1384899778204645,-2.130545749167027,-2.1186817511454805,-2.114854382432596,-2.1371761698125376,-2.127949606075621,0.00959527895507893,-1.7489874309611795,-1.7242054726323337,-1.7481897476061592,-1.7574801065285455,-1.6986700546682665,-1.7355065624792967,0.021494541528088395,8,-1.5780736662919193,-1.5892312664457675,-1.5661734825693874,-1.576151185750714,-1.5937889488490555,-1.5806837099813686,0.009825587115291754
118.55551242828369,19.772174388437367,0.024003362655639647,0.0008178678299443754,,GradientBoostingRegressor(random_state=42),0.75*median,0.7,5.0,0.05,,,"{'model__subsample': 0.7, 'model__max_depth': 5, 'model__learning_rate': 0.05, 'model': GradientBoostingRegressor(random_state=42), 'feature_selection__threshold': '0.75*median'}",0.9818734739239807,0.9820140708400369,0.9852227375070406,0.9850058509747414,0.9815772014323245,0.9831386669356249,0.0016206992710243533,8,0.9902935580588809,0.990168944291753,0.9895736186146489,0.9896273403385347,0.989913416419091,0.9899153755445816,0.0002853366576225202,-2.2722369981714476,-2.4184513267488845,-2.419923949975447,-2.427181677204684,-2.5006328513255602,-2.4076853606852047,0.07433880598304547,8,-1.879166368798352,-1.8647224213375646,-1.871460613638573,-1.8693544042372436,-1.8797347272684843,-1.8728877070560437,0.005787849244059897,-1.7116827418086518,-1.745298182685664,-1.7440943078367017,-1.752094602842931,-1.745687107398202,-1.73977138851443,0.014318257577918278,9,-1.422995171195035,-1.4201597965577581,-1.4124766022060598,-1.4264609433253947,-1.4236018917763027,-1.42113888101211,0.0047713784804129635
118.0224467754364,65.35765467473665,0.02256808280944824,0.0006473043891354311,,GradientBoostingRegressor(random_state=42),1.25*median,0.9,3.0,0.1,,,"{'model__subsample': 0.9, 'model__max_depth': 3, 'model__learning_rate': 0.1, 'model': GradientBoostingRegressor(random_state=42), 'feature_selection__threshold': '1.25*median'}",0.9814119880900118,0.9821526236386878,0.9850407489152213,0.985152776380903,0.9818823067210883,0.9831280887491823,0.0016251852468266179,9,0.988547094273551,0.9885107707679262,0.9874818667731303,0.9878417482939107,0.9884821974303378,0.9881727355077713,0.00043290441170916314,-2.300979810361924,-2.409118169304256,-2.4347795740001517,-2.4152606084262427,-2.4798395494320458,-2.407995542304924,0.058966692419289805,9,-2.0412351754890574,-2.015856259438989,-2.050612841370073,-2.023867826057544,-2.0086734259403833,-2.028049105659209,0.015649665615667965,-1.7119471525970993,-1.7378066060736648,-1.8027591160896546,-1.7487532702351902,-1.7361433117242075,-1.7474818913439634,0.030139940844446902,10,-1.5264882911862379,-1.5121209443103416,-1.5349009719363982,-1.5218449665193698,-1.5048499201816643,-1.5200410188268025,0.01057484574796487
139.71298599243164,113.9827009611779,0.02279510498046875,0.0009679441093239125,,GradientBoostingRegressor(random_state=42),median,0.7,3.0,0.2,,,"{'model__subsample': 0.7, 'model__max_depth': 3, 'model__learning_rate': 0.2, 'model': GradientBoostingRegressor(random_state=42), 'feature_selection__threshold': 'median'}",0.9810172468383823,0.9807821122481954,0.9858881936303621,0.9845308674905802,0.9822345332299687,0.9828905906874977,0.0020030796932423768,10,0.9910586998034057,0.9912032115447724,0.9906629940468848,0.9905575081769871,0.9909624698751086,0.9908889766894318,0.00024244185180932764,-2.325283646389119,-2.49990634153223,-2.3648087750370355,-2.465325985279756,-2.455615928559173,-2.4221881353594625,0.06588062233809802,10,-1.8035805319739993,-1.763909049645808,-1.770996512180459,-1.7835688960501181,-1.7793008985524024,-1.7802711776805573,0.013482440725424415,-1.7258037760471103,-1.7834553056849636,-1.7535664225945407,-1.7928090772378764,-1.7394662796720248,-1.7590201722473033,0.025511538264977176,14,-1.3618286532096724,-1.3402026739815274,-1.3388635966839544,-1.356377190233422,-1.3445743640638244,-1.34836929563448,0.00912944915787488
