mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_leaf,param_model__max_depth,param_model,param_feature_selection__threshold,param_model__alpha,param_model__l1_ratio,param_model__subsample,param_model__learning_rate,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,split4_train_r2,mean_train_r2,std_train_r2,split0_test_neg_rmse,split1_test_neg_rmse,split2_test_neg_rmse,split3_test_neg_rmse,split4_test_neg_rmse,mean_test_neg_rmse,std_test_neg_rmse,rank_test_neg_rmse,split0_train_neg_rmse,split1_train_neg_rmse,split2_train_neg_rmse,split3_train_neg_rmse,split4_train_neg_rmse,mean_train_neg_rmse,std_train_neg_rmse,split0_test_neg_mae,split1_test_neg_mae,split2_test_neg_mae,split3_test_neg_mae,split4_test_neg_mae,mean_test_neg_mae,std_test_neg_mae,rank_test_neg_mae,split0_train_neg_mae,split1_train_neg_mae,split2_train_neg_mae,split3_train_neg_mae,split4_train_neg_mae,mean_train_neg_mae,std_train_neg_mae
18.149185276031496,0.05099062140105556,0.06106586456298828,0.0007644575839830216,400.0,,5,GradientBoostingRegressor(random_state=42),median,,,0.9,0.05,"{'model__subsample': 0.9, 'model__n_estimators': 400, 'model__max_depth': 5, 'model__learning_rate': 0.05, 'model': GradientBoostingRegressor(random_state=42), 'feature_selection__threshold': 'median'}",0.818564441261673,0.8260394936335069,0.8299470684807067,0.8144166081050449,0.8308595602614195,0.8239654343484701,0.0064492084764588035,1,0.8998627522847727,0.8965697720898448,0.8976498022958995,0.8985070489351719,0.8976892647765163,0.898055728076441,0.001093266965624001,-50037.87270383216,-48070.42811664465,-47621.47902490576,-50000.87116975883,-46781.33630614371,-48502.397464257025,1305.9689109209826,1,-36437.15923278609,-37212.91079808972,-37000.15176087416,-36796.330742435704,-37129.755714869854,-36915.2616498111,277.3213054444261,-33202.941560510095,-32430.797280679137,-32524.972468174943,-33142.31891957938,-31461.164794449716,-32552.439004678658,628.8946510668386,2,-26011.971493680958,-26361.950264163435,-26326.001237746124,-26281.672085786406,-26333.753335379104,-26263.069683351205,128.16417494476562
11.990153694152832,0.26355909594878074,0.053595447540283205,0.0011877122747611408,200.0,,5,GradientBoostingRegressor(random_state=42),1.25*median,,,0.9,0.1,"{'model__subsample': 0.9, 'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.1, 'model': GradientBoostingRegressor(random_state=42), 'feature_selection__threshold': '1.25*median'}",0.8165961312362621,0.8249700824964238,0.8300915826664832,0.8119924658916697,0.8330916318146483,0.8233483788210976,0.007969708974799372,2,0.8993969462397098,0.8954017546101039,0.8973064571617715,0.8975310998198565,0.8956899058747072,0.8970652327412296,0.0014401939228812703,-50308.559354688296,-48217.95668155321,-47601.2399089559,-50326.374352721374,-46471.63486533159,-48585.15303265007,1521.3059044869267,2,-36521.80783947188,-37422.440003439944,-37062.160365108546,-36972.82294413733,-37490.79568533679,-37094.005367498896,348.8326708910362,-33504.34098242307,-32742.270296844854,-32393.770657348126,-33346.066506695286,-31528.055451880955,-32702.900779038457,711.8063622426976,3,-26078.176193134095,-26630.90864042554,-26350.101228721916,-26370.718553055453,-26554.17858076602,-26396.81663922061,191.8108543523167
25.575885677337645,0.3292132017374023,0.2061924457550049,0.0009464255627578925,400.0,2.0,,"RandomForestRegressor(n_jobs=1, random_state=42)",median,,,,,"{'model__n_estimators': 400, 'model__min_samples_leaf': 2, 'model__max_depth': None, 'model': RandomForestRegressor(n_jobs=1, random_state=42), 'feature_selection__threshold': 'median'}",0.8071730292868188,0.8211550111794683,0.8319096010340512,0.8041275033256206,0.8339540310883672,0.8196638351828651,0.012278354333245863,3,0.957264000749491,0.9568152083168788,0.9579969797817401,0.9572908428749244,0.9585003940184409,0.9575734851482951,0.0005981903976116109,-51584.77302792079,-48740.61967031093,-47345.88861216636,-51368.247175970544,-46351.4221780026,-49078.190132874246,2101.3045912447747,3,-23803.653333450206,-24045.583237667226,-23702.78745198644,-23869.706220847977,-23647.40425652958,-23813.826900096286,139.25749910043496,-32573.10587498209,-31674.088124355545,-30577.47341847359,-32396.040716581032,-29923.958251442473,-31428.93327716695,1029.0250095193685,1,-14368.403915684692,-14376.134817298527,-14121.472233832248,-14466.15618938432,-14114.840847290327,-14289.401600698024,143.998562592123
15.476396369934083,0.6481863938010931,0.0580538272857666,0.0004796336331556583,400.0,,4,GradientBoostingRegressor(random_state=42),1.25*median,,,0.9,0.05,"{'model__subsample': 0.9, 'model__n_estimators': 400, 'model__max_depth': 4, 'model__learning_rate': 0.05, 'model': GradientBoostingRegressor(random_state=42), 'feature_selection__threshold': '1.25*median'}",0.8064888308358469,0.8124054894239833,0.8166814572951169,0.7992769858329024,0.8167085968157706,0.8103122720407241,0.006667192734306075,4,0.8609460937403495,0.8579308149115126,0.8614729241196374,0.8613440042261515,0.8576091683780678,0.8598606010751437,0.0017188012486175127,-51676.209845351485,-49918.63730500959,-49444.04762914757,-52000.39015426825,-48698.98880686424,-50347.654748128225,1281.8154427937877,4,-42937.651023863706,-43613.3900749999,-43045.37502757125,-43008.658910812024,-43802.86350392925,-43281.58770823523,355.07753170058163,-35146.69595005398,-34323.47039239142,-34266.274102150295,-34818.78037000224,-33319.83310349582,-34375.01078361875,619.727271684795,6,-30203.867616060328,-30683.838381890317,-30249.347248978764,-30329.651337938158,-30641.053564106245,-30421.55162979476,201.22712627396996
15.535233545303345,0.6021806203759449,0.09549751281738281,0.0027309238643661205,200.0,2.0,12,"RandomForestRegressor(n_jobs=1, random_state=42)",0.75*median,,,,,"{'model__n_estimators': 200, 'model__min_samples_leaf': 2, 'model__max_depth': 12, 'model': RandomForestRegressor(n_jobs=1, random_state=42), 'feature_selection__threshold': '0.75*median'}",0.7942099916365865,0.8073877295781323,0.8147018229043906,0.7873594386590577,0.8234543002372956,0.8054226566030925,0.013168965861753078,5,0.9189948234451355,0.9148679392370446,0.9166606098413387,0.915186996294344,0.9215321262424503,0.9174484990120625,0.0025084490526664457,-53290.49779896015,-50581.84118621961,-49710.300844250356,-53521.8445318498,-47794.44990199243,-50979.78685265447,2177.9701233007686,5,-32772.00946998916,-33761.091133210844,-33387.532325694774,-33637.041865810635,-32516.772420650515,-33214.88944307119,487.8246748182024,-34946.105419482614,-33868.97546935025,-32847.548380891996,-34931.38695750193,-31704.1990322505,-33659.64305189546,1248.9513292598763,5,-22898.115512347427,-23320.59697658776,-22898.879931940188,-23550.754923365097,-21950.35210486616,-22923.739889821325,547.613331783173
15.59878659248352,0.09326606466127016,0.09219636917114257,0.0013301427664662157,200.0,4.0,12,"RandomForestRegressor(n_jobs=1, random_state=42)",0.75*median,,,,,"{'model__n_estimators': 200, 'model__min_samples_leaf': 4, 'model__max_depth': 12, 'model': RandomForestRegressor(n_jobs=1, random_state=42), 'feature_selection__threshold': '0.75*median'}",0.7928557220643391,0.8077175472752022,0.8154264750230282,0.7864228046910222,0.8231702728519681,0.8051185643811118,0.013702413252255264,6,0.900596784220651,0.8974978540942542,0.8997758233044141,0.8972592825434343,0.9041341983287663,0.8998527884983041,0.002496474017395018,-53465.558180028645,-50538.51597617794,-49613.00371156704,-53639.59087169025,-47832.88039674226,-51017.90982724123,2245.5371780118394,6,-36303.36669576326,-37045.57839628149,-36613.85110737014,-37021.82901368418,-35941.263733600994,-36585.177789340014,423.6739249473342,-35040.39176605077,-33832.38343941185,-32770.875464764715,-34879.63116758361,-31746.285553172846,-33653.91347819676,1255.0185542309412,4,-24516.0130940329,-24770.5160518525,-24413.062651010343,-25098.9242534002,-23595.58640779163,-24478.820491617516,501.08378647594196
11.729572582244874,0.27832641799390684,0.05524601936340332,0.0005474754411208137,400.0,,3,GradientBoostingRegressor(random_state=42),1.25*median,,,0.7,0.05,"{'model__subsample': 0.7, 'model__n_estimators': 400, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model': GradientBoostingRegressor(random_state=42), 'feature_selection__threshold': '1.25*median'}",0.7875065535984054,0.7951447967286942,0.7984615469301388,0.7791061838593233,0.7949789707368775,0.7910396103706878,0.006961974086126606,7,0.8234800897615044,0.8184815472570894,0.8242572362731516,0.8232753969366022,0.8192312663061667,0.8217451073069029,0.0023930300118187864,-54151.48924586177,-52164.63321953742,-51842.95863668961,-54550.633216384085,-51504.84687041028,-52842.91223777663,1255.3145649693347,7,-48377.5125411033,-49298.112501788644,-48483.9381286928,-48555.12550742973,-49354.089804017836,-48813.75569660646,422.5020132353858,-37217.76077696419,-36275.20944606167,-36277.182019908585,-37273.07965070913,-35679.804048653685,-36544.60718845945,612.5004027711832,7,-34066.55771068318,-34716.48437141205,-34087.39949977503,-34229.23193129662,-34677.25601279699,-34355.38590519277,284.65619017940037
15.64169545173645,0.075345286844487,0.06079301834106445,0.0005062653472856025,400.0,,4,GradientBoostingRegressor(random_state=42),0.75*median,,,0.7,0.02,"{'model__subsample': 0.7, 'model__n_estimators': 400, 'model__max_depth': 4, 'model__learning_rate': 0.02, 'model': GradientBoostingRegressor(random_state=42), 'feature_selection__threshold': '0.75*median'}",0.7832884628291776,0.785712440334775,0.7944169175609299,0.769653320567446,0.7849515106362845,0.7836045303857226,0.007973725737309817,8,0.815719456182013,0.811228346850094,0.8176447834144709,0.8150283132863141,0.8135133140445188,0.8146268427554821,0.0021565096390797297,-54686.31390538561,-53352.05325898415,-52360.58676899174,-55705.61780701149,-52749.34771657763,-53770.78389139012,1248.126645282172,8,-49429.5239479699,-50273.403820755404,-49387.638228971286,-49675.15169529963,-50128.580260135604,-49778.859590626365,361.30967737786216,-38011.19141179167,-37199.361139108216,-36501.356137153525,-38126.2831159334,-36714.39412268496,-37310.51718533435,660.133077413321,8,-34795.820604583256,-35432.9199408938,-34752.68199946046,-35038.82644555283,-35116.372681848894,-35027.32433446784,245.59808297766972
12.460420846939087,0.25127560879634436,0.057317066192626956,0.0006507288642663185,400.0,,3,GradientBoostingRegressor(random_state=42),median,,,0.7,0.02,"{'model__subsample': 0.7, 'model__n_estimators': 400, 'model__max_depth': 3, 'model__learning_rate': 0.02, 'model': GradientBoostingRegressor(random_state=42), 'feature_selection__threshold': 'median'}",0.7521703254991816,0.7616922627176046,0.7700131275669491,0.7386255961921288,0.7550106959737124,0.7555024015899153,0.01044075299087995,9,0.7734159618390213,0.7705703182244412,0.7750787215667896,0.7731338147904476,0.7710201726533372,0.7726437978148073,0.0016553358493850692,-58480.93235808971,-56262.850302828156,-55381.19743713681,-59338.90730420894,-56301.823053801745,-57153.14209121307,1496.512478276689,9,-54810.19427922811,-55423.59627457171,-54849.72242462856,-55013.776379662435,-55546.93509055223,-55128.84488972861,301.4518598371481,-40920.13265114389,-39655.05958705178,-39214.19407032075,-41234.056960320944,-39539.18781576438,-40112.52621692035,806.8522350826803,12,-38682.30706026586,-39013.567220633544,-38674.382714215884,-38969.537347768564,-39051.62298375719,-38878.283465328204,165.32260692626
12.17757706642151,0.317476577120395,0.0757561206817627,0.00040486702380338727,200.0,4.0,8,"RandomForestRegressor(n_jobs=1, random_state=42)",median,,,,,"{'model__n_estimators': 200, 'model__min_samples_leaf': 4, 'model__max_depth': 8, 'model': RandomForestRegressor(n_jobs=1, random_state=42), 'feature_selection__threshold': 'median'}",0.744497848712,0.7532926730587428,0.7762276636827545,0.7263930587543872,0.7725760108497604,0.754597451011529,0.018386336605037773,10,0.7932486332682326,0.7947748917685499,0.8073734060831345,0.7953993165089329,0.8101253485453815,0.8001843192348463,0.007081933773945555,-59379.27836003987,-57245.80703277083,-54627.838414642996,-60711.585204664516,-54245.91412272977,-57242.084626969605,2546.227252887922,10,-52356.53294363311,-52418.567432790886,-50759.49411408433,-52244.44424580715,-50581.88198127871,-51672.18414351884,821.5430377293804,-40897.04127896626,-39650.595722640144,-37805.258623517366,-41193.50190255702,-37405.37876037693,-39390.35525761155,1551.8910221889053,9,-36527.34398676861,-36547.26715028099,-35236.155352065274,-36565.89306868071,-34832.29445287073,-35941.79080213326,752.0480459029333
