feature,mean_abs_shap
num__rm_lstat_interact,3.0546450020502958
num__RM,1.960608847691831
num__PTRATIO,0.8744324225731028
num__log_LSTAT,0.8166326170456119
num__DIS,0.7071093876970881
num__NOX,0.5966555135094324
num__LSTAT,0.5596336476097039
num__rooms_per_tax,0.5545890992482052
num__B,0.2619688361336961
num__log_CRIM,0.25736685055801656
num__CRIM,0.20212016783547937
num__crime_per_room,0.1548705432122216
num__TAX,0.1431861654063602
num__INDUS,0.1275674575113034
