mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__max_depth,param_model__learning_rate,param_model,param_feature_selection__threshold,param_model__min_samples_leaf,param_model__alpha,param_model__l1_ratio,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,split4_train_r2,mean_train_r2,std_train_r2,split0_test_neg_rmse,split1_test_neg_rmse,split2_test_neg_rmse,split3_test_neg_rmse,split4_test_neg_rmse,mean_test_neg_rmse,std_test_neg_rmse,rank_test_neg_rmse,split0_train_neg_rmse,split1_train_neg_rmse,split2_train_neg_rmse,split3_train_neg_rmse,split4_train_neg_rmse,mean_train_neg_rmse,std_train_neg_rmse,split0_test_neg_mae,split1_test_neg_mae,split2_test_neg_mae,split3_test_neg_mae,split4_test_neg_mae,mean_test_neg_mae,std_test_neg_mae,rank_test_neg_mae,split0_train_neg_mae,split1_train_neg_mae,split2_train_neg_mae,split3_train_neg_mae,split4_train_neg_mae,mean_train_neg_mae,std_train_neg_mae
0.2612452030181885,0.007747256810995668,0.014913034439086915,0.00020455310370089564,,6,,"RandomForestRegressor(n_estimators=150, n_jobs=1, random_state=42)",0.75*median,2.0,,,"{'model__min_samples_leaf': 2, 'model__max_depth': 6, 'model': RandomForestRegressor(n_estimators=150, n_jobs=1, random_state=42), 'feature_selection__threshold': '0.75*median'}",0.9840706814630025,0.98555108037407,0.9823821270880277,0.9826064223370323,0.980434122387902,0.983008886730007,0.0017189748824653272,1,0.9885961237734684,0.987840481805016,0.988578962613378,0.9888726295354211,0.9890981402061398,0.9885972675866845,0.0004242071860362651,-2211.9463677889985,-2197.5849428551405,-2066.778688877087,-1993.9186763019588,-2245.868890462408,-2143.2195132571187,96.28064671289606,1,-1742.254097255357,-1775.753939022412,-1795.4105652269072,-1783.034186830401,-1742.5849822359785,-1767.8075541142111,21.661389101627726,-1576.1310762289474,-1660.3551312537127,-1675.2227987935757,-1561.0223816816504,-1679.8945275499382,-1630.525183101565,51.2140470852645,1,-1346.2357915159653,-1345.396908948187,-1349.372051836148,-1340.6390621500964,-1318.035413381254,-1339.9358455663303,11.302017204484628
0.23303017616271973,0.005827041320507764,0.011359262466430663,0.00019686615779312925,0.7,4,0.05,"GradientBoostingRegressor(n_estimators=150, random_state=42)",0.75*median,,,,"{'model__subsample': 0.7, 'model__max_depth': 4, 'model__learning_rate': 0.05, 'model': GradientBoostingRegressor(n_estimators=150, random_state=42), 'feature_selection__threshold': '0.75*median'}",0.9845096501543176,0.9855577009329215,0.9817008028701683,0.9820158036437278,0.9799072449795813,0.9827382405161431,0.0020346978537336587,2,0.9912579979349003,0.9904729400311585,0.9912388911683268,0.9911391691682667,0.9913432202399189,0.9910904437085144,0.00031549706937136085,-2181.2558411367213,-2197.0814136005188,-2106.3631879152067,-2027.488963110309,-2275.906822228282,-2157.6192455982077,84.4617972892989,2,-1525.4244369274395,-1571.8244959408348,-1572.4995777948288,-1591.1115162647573,-1552.8226423437472,-1562.7365338543216,22.2419672269662,-1566.4342274295186,-1676.674858222125,-1678.6747482860135,-1589.4272280251487,-1708.1594481120205,-1643.8741020149653,55.46345927641911,2,-1193.470964149659,-1204.9107662583913,-1209.6943725642384,-1210.0585183631242,-1188.3577872370477,-1201.2984817144923,8.820537734839702
0.21180524826049804,0.0014105230149433496,0.011444616317749023,0.00013923631955493389,0.9,3,0.05,"GradientBoostingRegressor(n_estimators=150, random_state=42)",1.25*median,,,,"{'model__subsample': 0.9, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model': GradientBoostingRegressor(n_estimators=150, random_state=42), 'feature_selection__threshold': '1.25*median'}",0.9844113767147532,0.9849003893046386,0.9800207659700265,0.9811647485170346,0.9798940149673541,0.9820782590947614,0.002156226272554966,3,0.986453773069755,0.9860221487767721,0.9868476699387845,0.9868261926183443,0.9873103021704819,0.9866920173148277,0.0004312751077297946,-2188.16403259196,-2246.5229431329744,-2200.932155054411,-2074.9072706763304,-2276.655980822565,-2197.436476455648,68.98813714833258,3,-1898.8664462732268,-1903.9029643883957,-1926.692245421943,-1940.077375506964,-1880.0496172396456,-1909.9177297660349,21.172628660533213,-1574.9128565275455,-1716.6019645588208,-1774.2811760251916,-1589.5320381026772,-1704.890970769112,-1672.0438011966696,77.14850451454288,3,-1433.0758834660721,-1434.6510542837243,-1426.8804799429263,-1447.0604626243723,-1407.7048808366162,-1429.8745522307422,12.875385883044604
0.20844392776489257,0.0007177005216290502,0.011356258392333984,8.621060213862115e-05,0.7,3,0.05,"GradientBoostingRegressor(n_estimators=150, random_state=42)",1.25*median,,,,"{'model__subsample': 0.7, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model': GradientBoostingRegressor(n_estimators=150, random_state=42), 'feature_selection__threshold': '1.25*median'}",0.9842109025120678,0.9849920964977978,0.980304492722917,0.9808440373988286,0.9794804604271605,0.9819663979117543,0.0022088078227578715,4,0.9863378608023263,0.9859280960693487,0.9867925666049135,0.9867128469503144,0.9872101728189956,0.9865963086491798,0.0004341038864584017,-2202.1892954764044,-2239.690446277694,-2185.248464936072,-2092.4976126068386,-2299.950763489495,-2203.9153165573007,68.21730312140859,4,-1906.9732452563612,-1910.297617349319,-1930.72408608243,-1948.405582667325,-1887.4524041917796,-1916.7705871094429,20.942378909911657,-1591.4342939957512,-1712.1765027545316,-1759.7134114597598,-1598.026189946303,-1729.2613281125996,-1678.1223452537888,69.80285899804294,4,-1453.305709474374,-1444.7640360968032,-1439.416879565911,-1458.3650780602143,-1416.025686005523,-1442.375477840565,14.723500418020157
0.22224760055541992,0.00038513547194535854,0.011464405059814452,5.2937386669699784e-05,0.9,4,0.1,"GradientBoostingRegressor(n_estimators=150, random_state=42)",median,,,,"{'model__subsample': 0.9, 'model__max_depth': 4, 'model__learning_rate': 0.1, 'model': GradientBoostingRegressor(n_estimators=150, random_state=42), 'feature_selection__threshold': 'median'}",0.9844678046995823,0.9844288475054827,0.9803534553229832,0.9817760433057033,0.9780791240380191,0.9818210549743542,0.0024480109441227904,5,0.9876825017129336,0.9872810867301889,0.9880485618917085,0.9877660554963759,0.9885164331316582,0.987858927792573,0.0004103476771800946,-2184.2000639544694,-2281.331316042193,-2182.530534775746,-2040.9591778586646,-2377.1888545295737,-2213.2419894321292,112.23433077246067,5,-1810.700002968104,-1816.1411811078235,-1836.6275022213192,-1869.5911756899427,-1788.4717003942512,-1824.306312476288,27.343924388351127,-1587.1347031033333,-1755.0202791357742,-1754.6483242033,-1575.044722234212,-1794.0871493089705,-1693.187035597118,92.72149306910376,6,-1311.0462779773554,-1309.8223017350626,-1301.3742287049288,-1336.0404295107294,-1283.6663450755555,-1308.3899166007263,16.93596004207639
0.24044718742370605,0.021947478300219665,0.01157989501953125,0.0001229703401803889,0.9,5,0.05,"GradientBoostingRegressor(n_estimators=150, random_state=42)",median,,,,"{'model__subsample': 0.9, 'model__max_depth': 5, 'model__learning_rate': 0.05, 'model': GradientBoostingRegressor(n_estimators=150, random_state=42), 'feature_selection__threshold': 'median'}",0.9843833075493231,0.984392608370004,0.979937674635707,0.9819532292581004,0.978376759542363,0.9818087158710995,0.0023918623046232804,6,0.9877428186721202,0.9873177332832683,0.9880804122199517,0.9878204941349078,0.9885833957445407,0.9879089708109576,0.0004169502649836319,-2190.13317102993,-2283.9844731717308,-2205.5041181501815,-2031.0131325560155,-2360.99529707552,-2214.326038396676,110.11894617432506,6,-1806.2611978012662,-1813.522902217328,-1834.1785829475427,-1865.426882080474,-1783.2496366990954,-1820.5278403491416,27.72918115297826,-1596.5444865506659,-1763.4181121620861,-1766.282992272392,-1555.495613934345,-1780.4522285987412,-1692.438686703646,96.11092202527048,5,-1299.5923697759044,-1300.453462111107,-1291.4037492239934,-1326.9212107507797,-1266.08803942861,-1296.8917662580789,19.497355670967885
0.23869843482971193,0.0010054823138094548,0.015134906768798828,0.0002004244539007242,,,,"RandomForestRegressor(n_estimators=150, n_jobs=1, random_state=42)",median,4.0,,,"{'model__min_samples_leaf': 4, 'model__max_depth': None, 'model': RandomForestRegressor(n_estimators=150, n_jobs=1, random_state=42), 'feature_selection__threshold': 'median'}",0.9839119898054115,0.9838379722984829,0.9803770548322452,0.9820045412103554,0.9782412609806733,0.9816745638254337,0.002157145999831497,7,0.9860802156474656,0.9856677741635397,0.9863864696309382,0.986346881935446,0.9870656761337244,0.9863094035022227,0.0004568385700305033,-2222.9370304695085,-2324.2128959569704,-2181.219308623436,-2028.1237116712298,-2368.3811434108115,-2224.9748180263914,119.23307051829885,7,-1924.870428748896,-1927.8863333457002,-1960.1819337548463,-1975.0555699607805,-1898.0844721743724,-1937.2157475969193,27.31299854316461,-1627.2694698151197,-1769.7994652218038,-1757.4454672647846,-1557.7741762469038,-1781.635028865277,-1698.784721482778,89.82956689888057,7,-1466.216960238766,-1461.0201540088456,-1473.3559873409201,-1489.4496677426419,-1431.17591328654,-1464.2437365235428,19.11092940321737
0.23491368293762208,0.001306403386782929,0.015290260314941406,9.751232445285182e-05,,8,,"RandomForestRegressor(n_estimators=150, n_jobs=1, random_state=42)",1.25*median,2.0,,,"{'model__min_samples_leaf': 2, 'model__max_depth': 8, 'model': RandomForestRegressor(n_estimators=150, n_jobs=1, random_state=42), 'feature_selection__threshold': '1.25*median'}",0.9834735288951796,0.9841526611879233,0.9800850631501352,0.9813967205126977,0.9785583050379393,0.981533255756775,0.0020780847019621833,8,0.986606394951507,0.9860894122732935,0.9870201499777492,0.9869352596335856,0.9875767074021776,0.9868455848476627,0.0004903189798985923,-2253.025247401225,-2301.4744331024453,-2197.3877806947594,-2062.0905704572783,-2351.0631240256353,-2233.0082311362685,99.50570105132584,8,-1888.1391233558422,-1899.3165081107263,-1914.017203994043,-1932.0296553190274,-1860.210227180794,-1898.7425435920868,24.243961811189035,-1647.3291227503264,-1742.4043146838198,-1779.3459318597654,-1593.218300868199,-1758.107930344365,-1704.0811201012953,71.50343942597894,8,-1431.7499946663488,-1428.9457033327933,-1421.4936944511578,-1443.226892364268,-1393.9731167544492,-1423.8778803138034,16.50464484700534
0.21236820220947267,0.001530663145583191,0.011388206481933593,8.737728339689279e-05,0.7,4,0.1,"GradientBoostingRegressor(n_estimators=150, random_state=42)",1.25*median,,,,"{'model__subsample': 0.7, 'model__max_depth': 4, 'model__learning_rate': 0.1, 'model': GradientBoostingRegressor(n_estimators=150, random_state=42), 'feature_selection__threshold': '1.25*median'}",0.9836818505920203,0.9841346896657902,0.9796657264441302,0.9802466277290245,0.97790355826259,0.981126490538711,0.0024030984062479556,9,0.9874573421748248,0.9870306808020177,0.9878816703038467,0.9875555471232094,0.9883001100061634,0.9876450700820124,0.0004256259582934202,-2238.7801454954993,-2302.7790458070554,-2220.4017924310874,-2124.8760679528614,-2386.689402841414,-2254.7052909055833,87.19731545207837,9,-1827.1745364693475,-1833.93184925898,-1849.4065092293968,-1885.607514497054,-1805.2383871959114,-1840.271759330138,26.750114847407065,-1617.3247727130952,-1772.7503553875765,-1776.6744844869831,-1626.5983554634106,-1789.366032248747,-1716.5428000599627,77.47586973857746,9,-1350.3358680216897,-1355.0671809240948,-1333.1390471278369,-1378.8692550760848,-1315.044257549652,-1346.4911217398717,21.465588961330223
0.21774764060974122,0.0004220612908358297,0.01146693229675293,8.404373614507793e-05,0.7,4,0.2,"GradientBoostingRegressor(n_estimators=150, random_state=42)",median,,,,"{'model__subsample': 0.7, 'model__max_depth': 4, 'model__learning_rate': 0.2, 'model': GradientBoostingRegressor(n_estimators=150, random_state=42), 'feature_selection__threshold': 'median'}",0.9843484611650896,0.9837034906034356,0.9794309959465968,0.9798957176023708,0.9779326764473805,0.9810622683529747,0.0025136170745692684,10,0.9877429220572285,0.9873095504616728,0.988106203591905,0.9877940012498745,0.9885662215194726,0.9879037797760308,0.0004173342720728865,-2192.5752917418617,-2333.8625694879142,-2233.18072247749,-2143.6667360861156,-2385.116322114814,-2257.6803283816394,89.31031527454336,10,-1806.253580189261,-1814.107866315517,-1832.1931283916183,-1867.4546200998889,-1784.5904216113152,-1820.91992332152,27.83487593953025,-1613.3119669363068,-1814.4570692381144,-1778.3815675505978,-1637.0376535904375,-1788.818739395366,-1726.4013993421645,83.81737529149534,11,-1294.8579316724974,-1307.9892453080283,-1285.9560263980154,-1328.7830719972856,-1268.364305928789,-1297.190116260923,20.38287144463377
