group_column,group_value,n,positive_rate,f1,roc_auc,f1_gap_vs_overall,alert
sex,female,94,0.7553191489361702,0.9103448275862069,0.8787507654623393,0.13196644920782852,False
sex,male,168,0.17261904761904762,0.3,0.7550235673530141,-0.47837837837837843,True
pclass,1,74,0.6216216216216216,0.7906976744186046,0.8408385093167703,0.01231929604022619,False
pclass,2,57,0.45614035087719296,0.9803921568627451,0.9826302729528535,0.20201377848436664,False
pclass,3,131,0.21374045801526717,0.5416666666666666,0.8157073509015257,-0.2367117117117118,True
_age_group,child,18,0.5,0.8571428571428571,0.9506172839506173,0.07876447876447867,False
_age_group,adult,128,0.375,0.735632183908046,0.8708333333333333,-0.042746194470332455,False
_age_group,middle_aged,47,0.46808510638297873,0.8108108108108109,0.94,0.032432432432432434,False
_age_group,unknown,54,0.25925925925925924,0.72,0.8955357142857143,-0.05837837837837845,False
