feature,vif
NOX,4.372767977681944
DIS,4.1641975993574185
INDUS,3.6343983345347652
TAX,3.3272056342884038
AGE,2.9757412275405084
LSTAT,2.7823809573197633
ZN,2.4121578735908953
RM,1.877139343738354
PTRATIO,1.7718828387964167
CRIM,1.5919956048699795
B,1.313772632433394
