mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model,param_feature_selection__threshold,param_model__subsample,param_model__max_depth,param_model__learning_rate,param_model__l1_ratio,param_model__min_samples_leaf,param_model__epsilon,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,split4_train_r2,mean_train_r2,std_train_r2,split0_test_neg_rmse,split1_test_neg_rmse,split2_test_neg_rmse,split3_test_neg_rmse,split4_test_neg_rmse,mean_test_neg_rmse,std_test_neg_rmse,rank_test_neg_rmse,split0_train_neg_rmse,split1_train_neg_rmse,split2_train_neg_rmse,split3_train_neg_rmse,split4_train_neg_rmse,mean_train_neg_rmse,std_train_neg_rmse,split0_test_neg_mae,split1_test_neg_mae,split2_test_neg_mae,split3_test_neg_mae,split4_test_neg_mae,mean_test_neg_mae,std_test_neg_mae,rank_test_neg_mae,split0_train_neg_mae,split1_train_neg_mae,split2_train_neg_mae,split3_train_neg_mae,split4_train_neg_mae,mean_train_neg_mae,std_train_neg_mae
1.5106210231781005,0.013268746447579817,0.018172359466552733,0.00044887672155703755,,"GradientBoostingRegressor(n_estimators=150, random_state=42)",1.25*median,0.9,3,0.05,,,,"{'model__subsample': 0.9, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model': GradientBoostingRegressor(n_estimators=150, random_state=42), 'feature_selection__threshold': '1.25*median'}",0.8711733682109044,0.9042690871603533,0.9285899475863493,0.8633907068148999,0.9215001277252014,0.8977846474995415,0.02624706389173136,1,0.9623082798670295,0.960396728180079,0.9583140327874127,0.964686905370849,0.9569550787823721,0.9605322049975484,0.002762261791181213,-0.13841297654812074,-0.1162822581143995,-0.10910019866556576,-0.15081153057755298,-0.10639724717686719,-0.12420084221650123,0.017423058878846515,1,-0.0765118653556691,-0.07889722283891362,-0.07928860103504197,-0.07291804014773202,-0.08193343565024891,-0.07790983300552112,0.003031093125922829,-0.09064801904121327,-0.08281955666416178,-0.08006900993131441,-0.09735191041629257,-0.0782143252828558,-0.08582056426716755,0.007158457361812398,2,-0.05697532800212192,-0.059638198875678325,-0.059287675080871516,-0.05586431598806352,-0.06062843181133175,-0.05847878995161341,0.0017728709073273564
1.6281903266906739,0.010808180716936996,0.01815652847290039,0.00012123841448966615,,"GradientBoostingRegressor(n_estimators=150, random_state=42)",1.25*median,0.9,4,0.05,,,,"{'model__subsample': 0.9, 'model__max_depth': 4, 'model__learning_rate': 0.05, 'model': GradientBoostingRegressor(n_estimators=150, random_state=42), 'feature_selection__threshold': '1.25*median'}",0.8716034774183898,0.9059733409289281,0.9290726764329323,0.8555129869563614,0.9191958189385321,0.8962716601350287,0.02816144532894999,2,0.9808181270394744,0.9792921303808199,0.9788810322656634,0.9818329115956825,0.9791269422336434,0.9799902287030566,0.0011440120131123708,-0.13818172596001016,-0.11524254997542917,-0.10873081705861677,-0.1550989408122843,-0.10794756071986446,-0.12504031890524098,0.018603095652070935,2,-0.054582235196379544,-0.05705108313770623,-0.05643547143415838,-0.05230097234694351,-0.05705493895455351,-0.05548494021394823,0.0018315969551512086,-0.09033256847334155,-0.08233600280203937,-0.07954814612292617,-0.09968903424074337,-0.08043334198927157,-0.0864678187256644,0.0076302753757149415,5,-0.04226545918331968,-0.04360808095717471,-0.04311280385732877,-0.04080442893258737,-0.04412917818293253,-0.042783990222668614,0.001164844361572189
1.4696669578552246,0.012206798690949913,0.017508888244628908,0.00020499692509228572,,"GradientBoostingRegressor(n_estimators=150, random_state=42)",1.25*median,0.9,3,0.1,,,,"{'model__subsample': 0.9, 'model__max_depth': 3, 'model__learning_rate': 0.1, 'model': GradientBoostingRegressor(n_estimators=150, random_state=42), 'feature_selection__threshold': '1.25*median'}",0.8707058810442292,0.8966730700462474,0.9259599817160037,0.8672736985798903,0.9194566948534345,0.896013865247961,0.024138193581789605,3,0.978145490615282,0.976203380412035,0.9747041067595491,0.9793811916243804,0.9765375380705298,0.9769943414963553,0.001618744067732019,-0.13866388621611653,-0.12080756192306769,-0.11109106344167302,-0.1486527410368924,-0.10777316575411454,-0.12539768367437282,0.01583137426068027,3,-0.05826078634413787,-0.061158076403459084,-0.061764769324855175,-0.05571843114040211,-0.06049047544351714,-0.05947850773127428,0.0022222980446107584,-0.09182215035723261,-0.08443640326414721,-0.08159543293933133,-0.09515237492239736,-0.0782191950750686,-0.08624511131163541,0.006320585016452631,4,-0.04486598942372002,-0.047517531244526984,-0.04748871933404917,-0.04379848592655798,-0.04686728426254719,-0.046107602038280265,0.001506394472587922
1.616788625717163,0.005926324102209417,0.018178701400756836,0.00021378418473416176,,"GradientBoostingRegressor(n_estimators=150, random_state=42)",median,0.7,5,0.1,,,,"{'model__subsample': 0.7, 'model__max_depth': 5, 'model__learning_rate': 0.1, 'model': GradientBoostingRegressor(n_estimators=150, random_state=42), 'feature_selection__threshold': 'median'}",0.8576144826469613,0.9025779995426291,0.9246863905859121,0.8581032886220463,0.926198604442068,0.8938361531679234,0.03054286267932246,4,0.9970236288292028,0.9969483375741669,0.9969456960574954,0.9973018088472826,0.9967889371557261,0.9970016816927748,0.00016840321259529095,-0.14551470757074844,-0.11730482564485213,-0.11204244987284886,-0.1537023793701999,-0.10316400732988783,-0.12634567395770743,0.01969543097149637,4,-0.021500539421035192,-0.02190102436416475,-0.021462086471274282,-0.020155958488868073,-0.022378172135805948,-0.02147955617622965,0.0007399732970032419,-0.09430745098613419,-0.08343816899688794,-0.08303042264171434,-0.09980670657808192,-0.07709005045417738,-0.08753455993139916,0.00827808052859414,7,-0.017071032499945397,-0.017810517259479713,-0.017124758788984343,-0.01598393766297878,-0.018106995367242206,-0.01721944831572609,0.0007341092832576747
1.6309704303741455,0.016282662440540475,0.017864227294921875,0.00015599849882059314,,"GradientBoostingRegressor(n_estimators=150, random_state=42)",0.75*median,0.9,4,0.2,,,,"{'model__subsample': 0.9, 'model__max_depth': 4, 'model__learning_rate': 0.2, 'model': GradientBoostingRegressor(n_estimators=150, random_state=42), 'feature_selection__threshold': '0.75*median'}",0.8616771030214911,0.9025904402311667,0.9241893216867035,0.8623576333169051,0.9162339452582224,0.8934096887028978,0.026547338210327034,5,0.9978766307084309,0.9977372205986618,0.9972714895454188,0.9981470006833103,0.9977897543056313,0.9977644191682906,0.0002840145383088403,-0.14342373236630118,-0.11729733555336666,-0.11241158120700488,-0.15138069374294455,-0.10990816249692868,-0.12688430107330922,0.017106635265265513,5,-0.018160114290375003,-0.018858940548298165,-0.02028516875582174,-0.016703394096200468,-0.01856609140002116,-0.01851474181814331,0.001154319049508866,-0.0986250783467662,-0.08643005326198484,-0.08166688416751006,-0.1000680754968793,-0.08178440833388843,-0.08971489992140577,0.008062667003403846,8,-0.014366524931975868,-0.014932178451627824,-0.01578504083343829,-0.013211646346516693,-0.014508651722575625,-0.014560808457226859,0.0008363450720647555
1.729529857635498,0.01700289957820937,0.01807394027709961,0.0004414517257623874,,"GradientBoostingRegressor(n_estimators=150, random_state=42)",1.25*median,0.9,5,0.2,,,,"{'model__subsample': 0.9, 'model__max_depth': 5, 'model__learning_rate': 0.2, 'model': GradientBoostingRegressor(n_estimators=150, random_state=42), 'feature_selection__threshold': '1.25*median'}",0.8597762544993003,0.9030524888698367,0.9291312924263911,0.8387716502034641,0.9060611928708467,0.8873585757739677,0.03305304958502148,6,0.9997415502408421,0.9997357908274501,0.9996678640267936,0.9997586374197731,0.9996795409698785,0.9997166766969474,3.6073492825855495e-05,-0.14440584219622835,-0.11701881311531023,-0.1086858789313931,-0.16383818564100483,-0.11639074204828713,-0.13006789238644473,0.020787221660605763,6,-0.006335689383753986,-0.0064442165896884335,-0.007077400492477477,-0.006028400098380162,-0.007069463629599093,-0.006591034038779831,0.0004168357968676736,-0.09774971712818148,-0.08617558362763095,-0.08044630930029714,-0.11071993249115654,-0.08439543294934439,-0.09189739509932209,0.011033435689669689,9,-0.004913749524169118,-0.005039972379708726,-0.005490616123139131,-0.004622777430171663,-0.005511511827154026,-0.005115725456868532,0.0003425552293204396
1.5271078586578368,0.006555640489886644,0.01819615364074707,0.00020177337163487433,,"GradientBoostingRegressor(n_estimators=150, random_state=42)",0.75*median,0.7,4,0.02,,,,"{'model__subsample': 0.7, 'model__max_depth': 4, 'model__learning_rate': 0.02, 'model': GradientBoostingRegressor(n_estimators=150, random_state=42), 'feature_selection__threshold': '0.75*median'}",0.8509023810078354,0.8913581266921844,0.9143821853157313,0.8372706015373438,0.9106240835127699,0.8809074756131728,0.03136026646598914,7,0.951266641014539,0.947404030673372,0.9446897276167325,0.9514805191511292,0.9457499543078363,0.9481181745527218,0.0027961015454099473,-0.14890501892028543,-0.1238756594754129,-0.11946149208785597,-0.16459909194153186,-0.113528832216379,-0.13407401892829302,0.019449297244096463,9,-0.08699994629885832,-0.09092271904798387,-0.09133110508715027,-0.08547225675896676,-0.09198145214866849,-0.08934149586832554,0.002603153718907392,-0.10137112455301074,-0.08770955816483507,-0.08525305417340173,-0.11022390188670426,-0.08282877097694387,-0.09347728195097912,0.010555163442336198,10,-0.06540915991946486,-0.0680381958541414,-0.06881602930549413,-0.06507380048029844,-0.06911438603013109,-0.06729031431790598,0.0017126614429018303
1.945208740234375,0.02091061724288271,0.02276949882507324,0.00020589800883668216,,"RandomForestRegressor(n_estimators=150, n_jobs=1, random_state=42)",0.75*median,,,,,2.0,,"{'model__min_samples_leaf': 2, 'model__max_depth': None, 'model': RandomForestRegressor(n_estimators=150, n_jobs=1, random_state=42), 'feature_selection__threshold': '0.75*median'}",0.8483062654901813,0.8902099854170528,0.9150251205638231,0.8302030572672703,0.9186100365853733,0.88047089306474,0.035510160261998755,8,0.9775544577312977,0.9749363874406914,0.9736172941757725,0.9787756183814461,0.9733218990912692,0.9756411313640954,0.0021659753436779386,-0.1501958052802812,-0.12452850610907636,-0.11901210699596014,-0.16813547633839881,-0.1083381320182528,-0.13404200534839386,0.021910744546083657,8,-0.05904333257795892,-0.06276506997835028,-0.06307764657196872,-0.056530733577800474,-0.06450266568508412,-0.0611838896782325,0.002943962190389931,-0.10221243510646645,-0.0878832236653373,-0.08505652468892644,-0.11329185746752936,-0.08033983011334885,-0.09375677420832167,0.012192825806161147,12,-0.038463578490472834,-0.03985539657963942,-0.04030510602567386,-0.037600337443549126,-0.040406175773761176,-0.03932611886261929,0.0011070113909491088
1.1492504119873046,0.014720721680630615,0.019095468521118163,0.0007578877663432115,1.0,Ridge(),0.75*median,,,,,,,"{'model__alpha': 1, 'model': Ridge(), 'feature_selection__threshold': '0.75*median'}",0.7753230379555105,0.9187730152775063,0.9226537960990806,0.8568356690636789,0.9281614378524443,0.8803493912496443,0.0585413689125063,9,0.9371886775348875,0.9307705528569712,0.9289737184770365,0.9395861332701838,0.927157083668995,0.9327352331616148,0.004814409875928584,-0.1827903454335624,-0.10711185057468502,-0.11354430787158112,-0.1543873950273362,-0.10178287926756253,-0.13192335563494545,0.03147676035646492,7,-0.09876993773483983,-0.1043137635934585,-0.1034964260982861,-0.09537518972913339,-0.10658445526659056,-0.10170795448446168,0.004062141887513946,-0.09149236168398366,-0.07640959844490307,-0.08501452365283332,-0.0989622919296946,-0.07639671653768924,-0.08565509844982079,0.00874942606595495,1,-0.07177616811473894,-0.07635677295528358,-0.07341801191200104,-0.07125843806840736,-0.07662398211811265,-0.07388667463370871,0.002243913899370482
1.9231680393218995,0.00492130872638499,0.022951841354370117,0.0001877272828181369,,"RandomForestRegressor(n_estimators=150, n_jobs=1, random_state=42)",median,,12,,,2.0,,"{'model__min_samples_leaf': 2, 'model__max_depth': 12, 'model': RandomForestRegressor(n_estimators=150, n_jobs=1, random_state=42), 'feature_selection__threshold': 'median'}",0.848502907057546,0.8883202619588519,0.9147905436380181,0.8296971141843267,0.9200890191384314,0.8802799691954348,0.035801657538813966,10,0.9770201931601105,0.9743417885058759,0.9728584360818604,0.9782267023682104,0.9726105612789315,0.9750115362789978,0.002245933166268399,-0.15009842381497446,-0.12559563617328648,-0.11917626288564842,-0.1683857862253268,-0.10734928279036461,-0.13412107837792014,0.022100251061684992,10,-0.0597418955506828,-0.0635052124757357,-0.06397838133538718,-0.05725708090203742,-0.06535694953913146,-0.06196790396059491,0.003001264200589829,-0.10226898600245492,-0.08841389754408979,-0.08528104881122704,-0.11362054735759101,-0.07951736758067167,-0.0938203694592069,0.012410898152332492,13,-0.03954914476648009,-0.040880940002687584,-0.04151063850315135,-0.03865922986870402,-0.04168382321977818,-0.04045675527216024,0.0011705684691071712
