mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__min_samples_leaf,param_model__max_depth,param_model,param_feature_selection__threshold,param_model__subsample,param_model__learning_rate,param_model__alpha,param_model__epsilon,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,split4_train_r2,mean_train_r2,std_train_r2,split0_test_neg_rmse,split1_test_neg_rmse,split2_test_neg_rmse,split3_test_neg_rmse,split4_test_neg_rmse,mean_test_neg_rmse,std_test_neg_rmse,rank_test_neg_rmse,split0_train_neg_rmse,split1_train_neg_rmse,split2_train_neg_rmse,split3_train_neg_rmse,split4_train_neg_rmse,mean_train_neg_rmse,std_train_neg_rmse
12.220430946350097,2.817856797886208,0.3663414478302002,0.23249992620876858,,4.0,"GradientBoostingRegressor(n_estimators=150, random_state=42)",0.75*median,0.9,0.05,,,"{'model__subsample': 0.9, 'model__max_depth': 4, 'model__learning_rate': 0.05, 'model': GradientBoostingRegressor(n_estimators=150, random_state=42), 'feature_selection__threshold': '0.75*median'}",-0.06848513118477917,0.26292791324620546,-0.29865081000129834,0.2862035757360645,-1.7874698374082425,-0.32109485792241,0.764782972425397,1,0.8386657311933332,0.8728472149121688,0.8739326516732749,0.8569881520001528,0.8409943813486231,0.8566856262255105,0.015031168552537817,-0.285031970833654,-0.27479893150380436,-0.3952703982941833,-0.26522895402768065,-0.28114890083893973,-0.3002958310996524,0.047957348840398845,3,-0.13814707408884805,-0.1311317534351764,-0.12683028566743523,-0.13613909587748357,-0.14006214567544037,-0.13446207094887674,0.004839166436896963
13.401359748840331,3.068343811575799,0.3709231376647949,0.23249329949823366,4.0,12.0,"RandomForestRegressor(n_estimators=150, n_jobs=1, random_state=42)",median,,,,,"{'model__min_samples_leaf': 4, 'model__max_depth': 12, 'model': RandomForestRegressor(n_estimators=150, n_jobs=1, random_state=42), 'feature_selection__threshold': 'median'}",-0.16555950106199524,0.0642298746469191,-0.2526864010148333,0.5114063048671991,-1.950054084106172,-0.3585327613337765,0.8386780642530072,2,0.9083342507768175,0.9277946626229127,0.9309085598666365,0.9156831071476734,0.9089423867624478,0.9183325934352975,0.009411145518552998,-0.29769843986371414,-0.3096311498016749,-0.38821228754172066,-0.21943589879268793,-0.2892319666908328,-0.30084194853812607,0.05381903837285007,4,-0.10413145214425773,-0.09881652574801032,-0.0938931229391733,-0.1045331769933441,-0.10599189846627736,-0.10147323525821254,0.0045025300846173975
13.764149045944214,3.132929300588582,0.3804675579071045,0.2423503716596899,2.0,12.0,"RandomForestRegressor(n_estimators=150, n_jobs=1, random_state=42)",median,,,,,"{'model__min_samples_leaf': 2, 'model__max_depth': 12, 'model': RandomForestRegressor(n_estimators=150, n_jobs=1, random_state=42), 'feature_selection__threshold': 'median'}",-0.20073244162911008,0.0781302137714196,-0.3260560787525011,0.4550149475378461,-1.8846427594689805,-0.3756572237082652,0.8007540939137961,3,0.9223822945920729,0.9428749821919327,0.9448396674974877,0.9277455836650406,0.9220309520612255,0.931974696001552,0.009930773687176958,-0.30215685852064156,-0.3073228472671328,-0.3994192955171244,-0.23175336248335784,-0.2860074329701749,-0.30533195935168633,0.05413634447147139,6,-0.09582057626943717,-0.08789377225770832,-0.08389481086690953,-0.09676739531846001,-0.09807891557618137,-0.09249109405773928,0.005579021527515392
10.891804218292236,2.496810853339134,0.36012115478515627,0.22916482779189423,,4.0,"GradientBoostingRegressor(n_estimators=150, random_state=42)",median,0.9,0.02,,,"{'model__subsample': 0.9, 'model__max_depth': 4, 'model__learning_rate': 0.02, 'model': GradientBoostingRegressor(n_estimators=150, random_state=42), 'feature_selection__threshold': 'median'}",-0.2547762751888678,0.23876282612521782,-0.10320646268539413,0.5614336866715405,-2.471551263332338,-0.4058674976819683,1.0707662223767247,4,0.7692177398116685,0.8151620983025651,0.8219775917995737,0.7844211791092963,0.7712610752848161,0.792407936861584,0.022094703660328334,-0.3088819166985234,-0.27926727771652776,-0.3643145317046987,-0.20789851326811978,-0.31375676098986927,-0.29482380007554776,0.051347950901245096,1,-0.1652264568035445,-0.15810312158102485,-0.15071587437388462,-0.16714750521355176,-0.1679904437766515,-0.16183668034973145,0.006560122500187217
15.4745041847229,3.5838150133550526,0.3811213970184326,0.24134878949764635,4.0,12.0,"RandomForestRegressor(n_estimators=150, n_jobs=1, random_state=42)",0.75*median,,,,,"{'model__min_samples_leaf': 4, 'model__max_depth': 12, 'model': RandomForestRegressor(n_estimators=150, n_jobs=1, random_state=42), 'feature_selection__threshold': '0.75*median'}",-0.5306511115147439,0.1020219676405143,-0.3142030672991396,0.5661211193686013,-1.8903676829070792,-0.41341575494236943,0.8282684127425185,5,0.9091109132389962,0.9275341515516864,0.9324389199484836,0.9151181249083572,0.9090312492817924,0.918646671785863,0.009644180525373003,-0.34115162149576905,-0.3033143193489469,-0.3976301749079421,-0.20678451045988944,-0.2862911005172373,-0.3070343453459569,0.06303291689273667,7,-0.10368937301974623,-0.09899462630273109,-0.0928474441982342,-0.1048828150177861,-0.10594016744770447,-0.10127088519724044,0.004833901735228521
9.37400279045105,2.232796735425942,0.36296563148498534,0.22854416210386405,,3.0,"GradientBoostingRegressor(n_estimators=150, random_state=42)",median,0.7,0.2,,,"{'model__subsample': 0.7, 'model__max_depth': 3, 'model__learning_rate': 0.2, 'model': GradientBoostingRegressor(n_estimators=150, random_state=42), 'feature_selection__threshold': 'median'}",-0.8334351382958411,0.386149276682224,-0.021944072251452118,-0.5491717309016462,-1.0619111961538503,-0.41606257218411313,0.5306433066781299,6,0.8635502044922699,0.8886692680555406,0.8918765143525684,0.87910004277593,0.8661925007412191,0.8778777060835056,0.011451985639863172,-0.3733723123693957,-0.25077916002705813,-0.35064016372254364,-0.3907360935700836,-0.24180555853967026,-0.3214666576457503,0.06274736366216453,10,-0.1270471195780838,-0.12270223178740143,-0.11745775087363743,-0.12517278824937006,-0.12848569169806007,-0.12417311643731055,0.0038760077263012434
8.807237339019775,2.149634474465574,0.3647200584411621,0.23026105744763337,,3.0,"GradientBoostingRegressor(n_estimators=150, random_state=42)",1.25*median,0.7,0.02,,,"{'model__subsample': 0.7, 'model__max_depth': 3, 'model__learning_rate': 0.02, 'model': GradientBoostingRegressor(n_estimators=150, random_state=42), 'feature_selection__threshold': '1.25*median'}",-0.33018986454979427,0.24135137516936334,-0.0003273066725990592,0.4735959349211728,-2.5907084429023204,-0.44125566080683554,1.1072313664998885,7,0.7256525293016147,0.7789476401946752,0.7777102338348976,0.7226806187014627,0.7298184621045465,0.7469618968274393,0.025714256642410206,-0.318028580959302,-0.2787920561557906,-0.3469118684809443,-0.22776834479188937,-0.3190960094683151,-0.29811937197124827,0.04132775290451535,2,-0.18014775689654408,-0.17289901041504563,-0.16841524294024413,-0.18957757517313678,-0.18257544778368312,-0.17872300664173074,0.007414334745854355
11.846583461761474,2.771152416420878,0.3681353569030762,0.23428691984450886,,5.0,"GradientBoostingRegressor(n_estimators=150, random_state=42)",0.75*median,0.7,0.02,,,"{'model__subsample': 0.7, 'model__max_depth': 5, 'model__learning_rate': 0.02, 'model': GradientBoostingRegressor(n_estimators=150, random_state=42), 'feature_selection__threshold': '0.75*median'}",-0.2713757638336267,0.18161446911097434,-0.2900093534263548,0.5228025200880362,-2.3790540502146293,-0.44720443565512,1.0123236298898173,8,0.8094547143417957,0.8513313440446888,0.8557325100557368,0.8255268403391526,0.8100738421407838,0.8304238501844315,0.019776044876497992,-0.31091830994156683,-0.28956030715837794,-0.3939531030171048,-0.21686168071454986,-0.30954861909304704,-0.3041684039849293,0.05651842274238714,5,-0.15013345624710633,-0.14179294978852505,-0.13567689605704483,-0.150369988247629,-0.1530759386292554,-0.1462098457939121,0.006485317810700746
12.080200386047363,2.8516838184990108,0.38114156723022463,0.23885471405971184,4.0,12.0,"RandomForestRegressor(n_estimators=150, n_jobs=1, random_state=42)",1.25*median,,,,,"{'model__min_samples_leaf': 4, 'model__max_depth': 12, 'model': RandomForestRegressor(n_estimators=150, n_jobs=1, random_state=42), 'feature_selection__threshold': '1.25*median'}",0.2779170941871233,-0.12782626165760536,-0.2916509927752431,0.3679104137878145,-3.4595407108484837,-0.6466380914612788,1.4277054081249174,9,0.9039209453837591,0.9275467458077994,0.9283582011147312,0.9038188406865665,0.904333395594851,0.9135956257175415,0.011726391227303956,-0.2343164970445145,-0.3399234758533188,-0.39420369162374963,-0.24958763521097937,-0.35561196759524094,-0.3147286534655606,0.06218033981758041,8,-0.1066087224815377,-0.0989860235065214,-0.09561034883145843,-0.11164566284801938,-0.10864124139414028,-0.10429839981233542,0.0060313134525889645
10.705396175384521,2.517228146761869,0.3739053726196289,0.23710128685270584,1.0,8.0,"RandomForestRegressor(n_estimators=150, n_jobs=1, random_state=42)",1.25*median,,,,,"{'model__min_samples_leaf': 1, 'model__max_depth': 8, 'model': RandomForestRegressor(n_estimators=150, n_jobs=1, random_state=42), 'feature_selection__threshold': '1.25*median'}",0.21826185980430857,-0.19706987070409143,-0.30370371385043904,0.4609213687258501,-3.6395326584181866,-0.6922246028885117,1.4994320721400476,10,0.816310854395453,0.8759289844471534,0.8691230557417333,0.8169313589128626,0.8162533539983186,0.8389095214991041,0.027533033250061935,-0.24380352743417238,-0.3502029559352833,-0.3960386280178507,-0.23049409677299335,-0.3627174250301621,-0.31665132663809237,0.06675329351695945,9,-0.14740768495454537,-0.12953290289353558,-0.1292269918222956,-0.15402947375156212,-0.15056507680087236,-0.1421524260445622,0.010637423706766527
