alpha,feature,coefficient
0.0001,age,2.584313141264054
0.0001,sex,-11.947133206716787
0.0001,bmi,24.464245700494175
0.0001,bp,15.655049820025965
0.0001,s1,-12.621409561269115
0.0001,s2,-1.2448862640235396
0.0001,s3,1.3037226681633676
0.0001,s4,3.5563093077333017
0.0001,s5,37.033614849110386
0.0001,s6,2.193357480017459
0.0001,bmi_x_bp,6.762088050942584
0.0001,bmi_x_s5,1.3710973588551885
0.0001,s1_minus_s2,-15.045157985924401
0.0001,s3_x_s4,-4.326015064510419
0.00013141473626117567,age,2.5842635819911752
0.00013141473626117567,sex,-11.947065541689264
0.00013141473626117567,bmi,24.464281544133815
0.00013141473626117567,bp,15.655000181970637
0.00013141473626117567,s1,-12.75162482064065
0.00013141473626117567,s2,-1.1137613114022318
0.00013141473626117567,s3,1.3014699808161596
0.00013141473626117567,s4,3.5545524551228667
0.00013141473626117567,s5,37.032676811778565
0.00013141473626117567,s6,2.1933455565595135
0.00013141473626117567,bmi_x_bp,6.762099635637511
0.00013141473626117567,bmi_x_s5,1.3709909428755913
0.00013141473626117567,s1_minus_s2,-14.982984850259138
0.00013141473626117567,s3_x_s4,-4.326431065245655
0.00017269832906594343,age,2.5841984537897447
0.00017269832906594343,sex,-11.946976619873956
0.00017269832906594343,bmi,24.464328647952737
0.00017269832906594343,bp,15.654934950263357
0.00017269832906594343,s1,-12.922746860319286
0.00017269832906594343,s2,-0.9414438007329956
0.00017269832906594343,s3,1.2985096176538864
0.00017269832906594343,s4,3.5522436918707387
0.00017269832906594343,s5,37.03144409248364
0.00017269832906594343,s6,2.1933298873815623
0.00017269832906594343,bmi_x_bp,6.762114859643471
0.00017269832906594343,bmi_x_s5,1.3708510965892189
0.00017269832906594343,s1_minus_s2,-14.901280187984172
0.00017269832906594343,s3_x_s4,-4.326977751532766
0.00022695105366946685,age,2.584112865758445
0.00022695105366946685,sex,-11.946859763503808
0.00022695105366946685,bmi,24.464390549309897
0.00022695105366946685,bp,15.654849226172763
0.00022695105366946685,s1,-13.147626437458324
0.00022695105366946685,s2,-0.714993198543206
0.00022695105366946685,s3,1.294619264222449
0.00022695105366946685,s4,3.549209636745579
0.00022695105366946685,s5,37.02982411768119
0.00022695105366946685,s6,2.1933092957575946
0.00022695105366946685,bmi_x_bp,6.762134866234517
0.00022695105366946685,bmi_x_s5,1.3706673179750835
0.00022695105366946685,s1_minus_s2,-14.793908221541772
0.00022695105366946685,s3_x_s4,-4.3276961778654774
0.0002982471286216891,age,2.584000390452981
0.0002982471286216891,sex,-11.946706197024538
0.0002982471286216891,bmi,24.464471896817834
0.0002982471286216891,bp,15.65473657209069
0.0002982471286216891,s1,-13.44315134064642
0.0002982471286216891,s2,-0.4174037369253702
0.0002982471286216891,s3,1.2895067665145026
0.0002982471286216891,s4,3.545222441192766
0.0002982471286216891,s5,37.02769523206727
0.0002982471286216891,s6,2.1932822353386356
0.0002982471286216891,bmi_x_bp,6.762161157840838
0.0002982471286216891,bmi_x_s5,1.3704258057891183
0.0002982471286216891,s1_minus_s2,-14.652805635030722
0.0002982471286216891,s3_x_s4,-4.3286402959431305
0.0003919406774847221,age,2.5838525813212145
0.0003919406774847221,sex,-11.946504388025085
0.0003919406774847221,bmi,24.464578799437454
0.0003919406774847221,bp,15.65458852802084
0.0003919406774847221,s1,-13.831514612753905
0.0003919406774847221,s2,-0.026327330799821667
0.0003919406774847221,s3,1.2827881911414043
0.0003919406774847221,s4,3.5399826786714934
0.0003919406774847221,s5,37.02489756264836
0.0003919406774847221,s6,2.1932466739570486
0.0003919406774847221,bmi_x_bp,6.762195708874851
0.0003919406774847221,bmi_x_s5,1.3701084231921963
0.0003919406774847221,s1_minus_s2,-14.467376043106324
0.0003919406774847221,s3_x_s4,-4.329881006212161
0.0005150678076168122,age,2.583722214992536
0.0005150678076168122,sex,-11.946300557031986
0.0005150678076168122,bmi,24.464758682235612
0.0005150678076168122,bp,15.654445789373352
0.0005150678076168122,s1,-13.854009165167575
0.0005150678076168122,s2,-0.0
0.0005150678076168122,s3,1.2753342727209949
0.0005150678076168122,s4,3.535211643992368
0.0005150678076168122,s5,37.02092598756451
0.0005150678076168122,s6,2.193243249767803
0.0005150678076168122,bmi_x_bp,6.762190351186448
0.0005150678076168122,bmi_x_s5,1.3696156054925817
0.0005150678076168122,s1_minus_s2,-14.451326168029446
0.0005150678076168122,s3_x_s4,-4.330974366644752
0.0006768750009458535,age,2.5834870001896966
0.0006768750009458535,sex,-11.94597134326564
0.0006768750009458535,bmi,24.4649557229422
0.0006768750009458535,bp,15.65420636060992
0.0006768750009458535,s1,-13.847541795744576
0.0006768750009458535,s2,-0.0
0.0006768750009458535,s3,1.26415852664577
0.0006768750009458535,s4,3.5268232509360704
0.0006768750009458535,s5,37.01599980493021
