mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__n_estimators,param_model__min_samples_leaf,param_model__max_depth,param_model__learning_rate,param_model,param_feature_selection__threshold,param_model__max_features,param_model__alpha,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,split4_train_r2,mean_train_r2,std_train_r2,split0_test_neg_rmse,split1_test_neg_rmse,split2_test_neg_rmse,split3_test_neg_rmse,split4_test_neg_rmse,mean_test_neg_rmse,std_test_neg_rmse,rank_test_neg_rmse,split0_train_neg_rmse,split1_train_neg_rmse,split2_train_neg_rmse,split3_train_neg_rmse,split4_train_neg_rmse,mean_train_neg_rmse,std_train_neg_rmse,split0_test_neg_mae,split1_test_neg_mae,split2_test_neg_mae,split3_test_neg_mae,split4_test_neg_mae,mean_test_neg_mae,std_test_neg_mae,rank_test_neg_mae,split0_train_neg_mae,split1_train_neg_mae,split2_train_neg_mae,split3_train_neg_mae,split4_train_neg_mae,mean_train_neg_mae,std_train_neg_mae
0.22888898849487305,0.00166618362331822,0.011486625671386719,4.4070331327566914e-05,0.8,200.0,4.0,3,0.1,GradientBoostingRegressor(random_state=42),median,,,"{'model__subsample': 0.8, 'model__n_estimators': 200, 'model__min_samples_leaf': 4, 'model__max_depth': 3, 'model__learning_rate': 0.1, 'model': GradientBoostingRegressor(random_state=42), 'feature_selection__threshold': 'median'}",0.8547233302127026,0.9106217325950552,0.814078310539605,0.8485556256326408,0.8875833418454535,0.8631124681650915,0.03329438925553758,1,0.988634838953641,0.9896623487922577,0.9925778365480232,0.9919290650472425,0.988873543281865,0.9903355265246059,0.0016155631055247443,-3.2139003908266885,-2.9628263077104373,-4.064216165532316,-4.0245107872061805,-2.729393777292048,-3.398969485713534,0.54893681526967,1,-1.016011756791279,-0.9315173891809646,-0.8004492849945718,-0.8112334497869998,-1.0092723292595172,-0.9136968420026665,0.09299929394029033,-2.1911177122214998,-2.151813126284187,-2.631009683981955,-2.42737226134136,-2.0340327175984827,-2.287069100285497,0.21424675514626007,2,-0.777112201792445,-0.7182781630460566,-0.6134051307614223,-0.6167785901924921,-0.7710220428940495,-0.6993192257372931,0.0717588609821434
0.25466165542602537,0.0015919004143052332,0.011876440048217774,0.00013825519878724794,0.7,200.0,1.0,5,0.05,GradientBoostingRegressor(random_state=42),median,,,"{'model__subsample': 0.7, 'model__n_estimators': 200, 'model__min_samples_leaf': 1, 'model__max_depth': 5, 'model__learning_rate': 0.05, 'model': GradientBoostingRegressor(random_state=42), 'feature_selection__threshold': 'median'}",0.8546640264422161,0.9077390902195247,0.8016612642404801,0.8698308651905875,0.870021923163212,0.8607834338512041,0.03436544034376728,2,0.9979937551862277,0.997986407591249,0.9981931503222112,0.9985526442768392,0.9977967781229589,0.9981045470998972,0.00025674701392292264,-3.2145563012506644,-3.010225932762429,-4.197740048117966,-3.731131299160345,-2.9348500387335887,-3.417700724004999,0.47898814575441506,2,-0.4268771416493659,-0.4111173560396534,-0.3949385935371307,-0.3435354565232467,-0.44911653306218385,-0.4051170161623161,0.03561278815817323,-2.2388913353954165,-2.1997586282692656,-2.552862952732299,-2.249873918144151,-2.069035806086445,-2.2620845281255155,0.15899147290074708,1,-0.34381109451905667,-0.33889787041161634,-0.32870999360330333,-0.2855469934474475,-0.3681234524375603,-0.3330178808837968,0.027038905075302214
0.3253824234008789,0.0030596433491276373,0.011783313751220704,0.0001443035929501738,0.7,400.0,2.0,4,0.1,GradientBoostingRegressor(random_state=42),median,,,"{'model__subsample': 0.7, 'model__n_estimators': 400, 'model__min_samples_leaf': 2, 'model__max_depth': 4, 'model__learning_rate': 0.1, 'model': GradientBoostingRegressor(random_state=42), 'feature_selection__threshold': 'median'}",0.8455692668031911,0.8937245410455348,0.8148099127030488,0.8664892431795397,0.8808900151690449,0.8602965957800718,0.02780574719282996,3,0.9999471906818297,0.999942428160804,0.9999344926492025,0.9999553550446773,0.9999386369872667,0.9999436207047558,7.211386398908636e-06,-3.313609610970421,-3.2307750547863177,-4.056211934852331,-3.7787194754457314,-2.809473541061264,-3.437757923423213,0.4362880059603615,3,-0.06925740524207111,-0.06951604903547151,-0.07519926262538296,-0.06033511189570517,-0.0749520062446695,-0.06985196700866006,0.005397051907132926,-2.3270938286105074,-2.3084442106732035,-2.599398124832407,-2.3864277313443907,-2.0193170918977033,-2.3281361974716424,0.185870404853013,3,-0.05399596320660747,-0.05638666447288221,-0.05947531218778592,-0.049705560204144746,-0.05919455830523668,-0.0557516116753314,0.0036265730103357432
0.2533773899078369,0.01080918330257712,0.011672353744506836,0.00034418773961741617,1.0,200.0,4.0,3,0.2,GradientBoostingRegressor(random_state=42),0.75*median,,,"{'model__subsample': 1.0, 'model__n_estimators': 200, 'model__min_samples_leaf': 4, 'model__max_depth': 3, 'model__learning_rate': 0.2, 'model': GradientBoostingRegressor(random_state=42), 'feature_selection__threshold': '0.75*median'}",0.8461188279868896,0.8995544719351339,0.7946501188123151,0.8386595972737279,0.905427862003551,0.8568821756023235,0.04122705288431083,4,0.998369234237981,0.9989918894752942,0.999046550597249,0.9985531976639919,0.9988266447161397,0.9987575033381312,0.0002591368025069405,-3.3077084080051304,-3.1409102697192655,-4.271289403895519,-4.153919647797035,-2.5034127819907903,-3.4754481022815478,0.6600896675108564,4,-0.3848635032839863,-0.290893557860046,-0.2868913072662356,-0.3434697759582604,-0.32775150291237565,-0.3267739294561808,0.03614451589495134,-2.350708178241494,-2.2691883009671128,-2.7076867157354156,-2.564525776988521,-1.8333354979369538,-2.3450888939738994,0.2991032399367074,4,-0.2806353942613424,-0.22177906699368777,-0.21308758124426033,-0.25780060556438517,-0.2366418235243245,-0.24198889431759998,0.024559626847113276
0.1894920825958252,0.0014172273433123884,0.011485958099365234,0.00013421289769561804,0.8,100.0,4.0,3,0.2,GradientBoostingRegressor(random_state=42),median,,,"{'model__subsample': 0.8, 'model__n_estimators': 100, 'model__min_samples_leaf': 4, 'model__max_depth': 3, 'model__learning_rate': 0.2, 'model': GradientBoostingRegressor(random_state=42), 'feature_selection__threshold': 'median'}",0.8603564805472316,0.8961365571821862,0.7970519968307768,0.847595682630996,0.862969422450539,0.8528220279283459,0.03216674397612545,5,0.9868925325447465,0.990662562423753,0.9910808897309369,0.9897190864896004,0.9890473655582879,0.9894804873494649,0.001476524525418055,-3.150974346829512,-3.193901979425124,-4.246236329157527,-4.037245490432903,-3.0134195798128913,-3.5283555451315913,0.508676046482798,5,-1.0911145079505369,-0.8853069727296972,-0.877464046414328,-0.9155873399639396,-1.0013576534781328,-0.9541661041073268,0.08135725452407186,-2.2604059055594323,-2.3611545996454826,-2.694827220862185,-2.4682632124516974,-2.272516560961164,-2.4114334998959928,0.16011048391453972,11,-0.8236030397553835,-0.6868249281711515,-0.6706791663023534,-0.6992900896925706,-0.7534390698566692,-0.7267672587556256,0.0558297639194879
0.19044275283813478,0.0010552334171122701,0.011617040634155274,9.464858454273636e-05,0.7,100.0,2.0,5,0.1,GradientBoostingRegressor(random_state=42),1.25*median,,,"{'model__subsample': 0.7, 'model__n_estimators': 100, 'model__min_samples_leaf': 2, 'model__max_depth': 5, 'model__learning_rate': 0.1, 'model': GradientBoostingRegressor(random_state=42), 'feature_selection__threshold': '1.25*median'}",0.8598968944548204,0.8875482353565007,0.7717880590931578,0.8516158426570634,0.8703427310259331,0.8482383525174951,0.0400645649982005,6,0.9955359432395696,0.9958588469253776,0.9963842614751577,0.9957093959279868,0.9962142041306977,0.9959405303397579,0.00031482715337115063,-3.156155233272657,-3.3233292033613306,-4.5027823249856,-3.9836418890957828,-2.9312259481608653,-3.579426919775247,0.5798076243553503,7,-0.6367600238861739,-0.5895771876378798,-0.5586850784083705,-0.5914841978297664,-0.5887196363489123,-0.5930452248222207,0.0249991124706722,-2.190883483904694,-2.393412077713488,-2.7147212809266015,-2.3532208240120136,-2.1028584319645267,-2.351019219704265,0.21038461030254646,5,-0.49487717932725706,-0.46530408934326245,-0.43865159860231273,-0.4648070645155497,-0.4733882776014668,-0.46740564187796974,0.018046835911542117
0.19970064163208007,0.001784516073995768,0.011446809768676758,0.0001312304547149639,1.0,100.0,4.0,3,0.05,GradientBoostingRegressor(random_state=42),0.75*median,,,"{'model__subsample': 1.0, 'model__n_estimators': 100, 'model__min_samples_leaf': 4, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model': GradientBoostingRegressor(random_state=42), 'feature_selection__threshold': '0.75*median'}",0.838675014360663,0.900165974768628,0.7663614369822072,0.8456417959280919,0.8903153093542787,0.8482319062787738,0.04747415482539422,7,0.9577045186257761,0.9597652483321633,0.9595874645042499,0.9538487091444168,0.9592043417100976,0.9580220564633407,0.0022092838999742018,-3.386766786630611,-3.1313348922911195,-4.556003337998106,-4.063042653896038,-2.696024714427498,-3.5666344770486744,0.6640890443871257,6,-1.960008353971268,-1.8377257117939456,-1.867783839440699,-1.939884408779174,-1.9325774060168506,-1.9075959440003878,0.046648755908942026,-2.4008053564383167,-2.272667204635333,-2.7930660747243525,-2.4595672862876854,-2.014745906013885,-2.3881703656199145,0.25376544514747956,8,-1.4507847652356936,-1.3645698716167511,-1.3820210280937035,-1.4457765714408772,-1.4197217595807443,-1.4125747991935538,0.03420948473203534
0.26283750534057615,0.006020515468027122,0.011753129959106445,0.00010527452206257536,0.7,400.0,2.0,3,0.1,GradientBoostingRegressor(random_state=42),1.25*median,,,"{'model__subsample': 0.7, 'model__n_estimators': 400, 'model__min_samples_leaf': 2, 'model__max_depth': 3, 'model__learning_rate': 0.1, 'model': GradientBoostingRegressor(random_state=42), 'feature_selection__threshold': '1.25*median'}",0.8743457106093587,0.8787019796446283,0.7501323028377573,0.8696429134254345,0.856539452391813,0.8458724717817983,0.04844275020381968,8,0.9982575598349451,0.9981907631854667,0.9977371698720623,0.998342197570257,0.998064883990303,0.9981185148906068,0.00021113386770852996,-2.9889808579992807,-3.4515731578227733,-4.7115827979138905,-3.733824025645209,-3.08330937793538,-3.593854043463306,0.6189798770313507,8,-0.3978229862462927,-0.38969760539667814,-0.4419717796879002,-0.36766332635253735,-0.4209043635387002,-0.40361201224442167,0.025651232831532287,-2.171787980807212,-2.361428114942454,-2.9184686680672955,-2.4348804370116794,-2.2526234136016856,-2.427837722886065,0.2613197599935972,12,-0.3153357952280726,-0.31321324458560357,-0.3549058999606364,-0.3008045285617063,-0.3367466587710631,-0.3242012254214164,0.019219271244229116
0.1842771053314209,0.00267395799101317,0.01137537956237793,0.00019391709726129165,1.0,100.0,2.0,3,0.1,GradientBoostingRegressor(random_state=42),1.25*median,,,"{'model__subsample': 1.0, 'model__n_estimators': 100, 'model__min_samples_leaf': 2, 'model__max_depth': 3, 'model__learning_rate': 0.1, 'model': GradientBoostingRegressor(random_state=42), 'feature_selection__threshold': '1.25*median'}",0.8520914129961712,0.8971025891051136,0.7621274576258956,0.8553292043738792,0.85411836133725,0.844153805087662,0.04431497028457085,9,0.9777690667272712,0.9753214568829773,0.978501836639108,0.9767460751047682,0.9761415700615965,0.9768960010831442,0.0011324120147099116,-3.24288216798719,-3.1790140694716955,-4.597099751561829,-3.93348010612637,-3.109218035363633,-3.6123388261021434,0.5745058570729222,9,-1.4209859501658388,-1.439261764131998,-1.3622889792939816,-1.3769940348200989,-1.477919758719027,-1.4154900974261888,0.04196442529365926,-2.2475172389132996,-2.2726181611062293,-2.7721453204522826,-2.395500477910888,-2.335997745132079,-2.4047557887029556,0.19077353670747277,10,-1.0792992955157237,-1.1230849755435544,-1.0253063746767812,-1.0594655939253301,-1.1416718065508182,-1.0857656092424413,0.04220677922267453
0.25745410919189454,0.0019843894636747024,0.011614227294921875,0.00020092882447436612,0.7,200.0,4.0,5,0.2,GradientBoostingRegressor(random_state=42),0.75*median,,,"{'model__subsample': 0.7, 'model__n_estimators': 200, 'model__min_samples_leaf': 4, 'model__max_depth': 5, 'model__learning_rate': 0.2, 'model': GradientBoostingRegressor(random_state=42), 'feature_selection__threshold': '0.75*median'}",0.8466867466950037,0.9032741545773948,0.7922020702623636,0.8167269851004793,0.8576624288389989,0.8433104770948482,0.03776710639718026,10,0.9999650888720858,0.9999904987840481,0.9999863013111229,0.9999884552978338,0.9999715002674464,0.9999803689065073,1.0152140453263536e-05,-3.301598999399045,-3.082204807897094,-4.296673749798496,-4.427267723201207,-3.0712179479131945,-3.635792645641808,0.6000143513004129,11,-0.05631095288957956,-0.028240320658161917,-0.0343880908146371,-0.030681408486453322,-0.05107993281935261,-0.0401401411336369,0.011360753746866655,-2.2237515265441004,-2.2038404516398433,-2.712795126591941,-2.653881515565296,-2.126725403067444,-2.384198804681725,0.24709080291869037,7,-0.04342096285149915,-0.021290921144275127,-0.024199162314972357,-0.023580186790115202,-0.03733164467108828,-0.029964575554390027,0.00877018536863122
